,NÚMERO DE INSCRIÇÃO,SITUAÇÃO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,ANO
1911,39401658675,Presente,B,E,B,C,D,A,B,B,D,C,E,E,A,D,B,B,E,D,E,A,E,A,E,E,A,C,A,C,A,C,B,D,C,D,E,A,A,A,D,E,C,C,E,B,C,D,A,D,B,C,B,B,E,C,D,C,E,D,A,C,A,A,D,E,E,C,C,C,A,D,2016
1912,39401667856,Presente,D,A,B,E,E,A,C,C,A,C,E,E,B,B,C,D,B,A,B,A,B,A,E,E,A,A,A,C,E,D,B,D,A,C,E,D,D,C,D,A,B,A,A,D,B,B,D,C,D,D,C,B,C,A,E,C,C,C,E,C,E,A,C,D,D,C,A,E,A,B,2016
1913,39401640033,Presente,E,A,D,B,D,A,B,D,D,D,A,E,D,B,C,A,B,E,B,D,A,B,C,B,A,D,E,C,B,C,B,A,B,C,D,D,A,C,D,D,A,C,A,E,D,C,D,E,B,D,E,E,D,B,D,A,B,A,C,A,D,A,D,A,E,C,A,D,A,A,2016
1914,39401642614,Presente,A,B,D,C,E,A,B,D,C,A,A,B,B,D,B,A,E,A,A,D,B,D,E,C,A,B,D,C,D,E,B,B,B,A,C,D,E,B,C,C,B,E,A,C,A,D,C,D,E,A,B,B,A,C,E,A,C,D,E,A,D,A,C,A,E,B,A,D,C,D,2016
1916,39401673318,Presente,C,B,D,E,C,B,C,E,B,C,E,E,D,B,E,A,E,A,A,E,D,A,A,D,E,B,B,B,E,B,B,C,B,D,E,A,A,B,E,A,B,E,D,A,A,E,B,D,E,D,E,B,D,A,C,B,A,C,A,C,D,A,A,D,E,B,A,C,B,D,2016
1917,39401637199,Presente,B,A,C,E,C,B,C,B,E,A,D,E,C,D,B,D,B,D,B,C,A,B,D,B,A,D,C,A,C,D,A,E,D,C,D,C,D,B,D,E,B,A,C,B,E,C,D,D,C,B,C,D,A,C,B,C,D,B,E,D,B,E,B,D,E,B,A,D,B,B,2016
1918,39401647892,Presente,C,C,A,B,B,E,A,B,C,B,E,E,C,D,B,D,E,A,B,D,B,A,E,E,A,D,D,D,E,C,B,A,C,C,E,A,A,B,D,C,B,D,C,C,E,C,C,E,B,D,B,A,A,A,D,C,E,D,B,D,C,A,B,A,A,C,C,B,B,C,2016
1919,39401667384,Presente,E,A,D,C,A,B,A,E,C,C,E,E,E,D,C,D,B,E,A,C,B,B,A,A,A,C,C,D,E,D,A,C,E,C,E,B,A,B,D,A,E,B,E,C,C,A,E,A,A,D,B,D,A,A,E,C,D,D,E,C,B,A,A,A,E,B,A,D,A,D,2016
1920,39401682926,Presente,B,A,B,B,C,B,C,B,D,B,E,E,D,B,B,E,E,B,C,E,B,A,B,B,A,B,E,C,D,D,B,C,B,C,B,A,A,C,D,A,B,C,A,C,E,C,D,C,C,E,C,E,A,C,B,A,B,E,E,D,C,A,C,A,E,E,C,C,D,D,2016
1921,39401664857,Presente,E,A,A,B,E,B,A,D,E,C,D,E,A,B,B,D,B,E,B,B,A,B,D,B,A,A,B,C,B,C,B,A,B,C,A,A,A,C,D,B,C,E,A,E,A,C,C,E,E,B,C,A,C,A,B,A,C,C,C,A,C,A,C,A,B,C,A,C,B,C,2016
1922,39402640041,Presente,E,A,D,E,E,A,B,C,C,B,A,E,E,B,A,E,B,E,B,B,B,A,E,E,A,D,D,B,E,C,A,A,A,C,B,A,A,A,D,C,A,E,A,C,A,E,D,E,C,D,B,B,A,A,B,A,A,D,A,B,E,D,C,A,C,B,B,B,A,D,2016
1923,39401651358,Presente,E,A,A,A,A,A,A,A,A,A,E,A,D,A,D,D,B,E,B,A,A,A,B,E,A,A,A,A,C,A,A,E,C,C,A,A,A,C,E,A,A,A,A,E,E,C,A,E,B,B,C,D,A,A,B,C,A,A,E,A,A,A,A,A,E,C,C,D,B,A,2016
1926,39401684559,Presente,E,A,B,E,D,B,C,D,C,C,C,E,B,A,D,D,B,E,B,B,B,A,C,A,A,D,B,C,D,A,B,A,E,C,A,A,C,C,D,C,D,B,A,D,D,C,B,A,D,B,B,D,A,A,E,C,B,D,E,E,D,A,C,A,E,C,A,B,B,D,2016
1928,39401666300,Presente,E,D,C,C,C,B,E,C,D,B,A,E,D,C,C,E,E,A,B,C,D,C,A,B,B,C,E,C,B,B,B,D,B,E,E,E,C,A,E,C,E,B,B,C,A,D,B,B,A,B,A,E,B,A,D,B,B,D,C,E,D,A,A,A,E,B,C,A,D,A,2016
1929,39401645247,Presente,B,D,C,D,A,A,B,A,A,B,A,E,C,A,A,D,B,E,B,A,D,B,B,A,A,B,B,C,E,D,B,D,B,E,D,D,C,B,A,E,D,D,A,C,D,D,D,C,D,B,C,A,D,A,B,D,A,D,A,D,D,A,D,B,E,D,D,D,D,E,2016
1931,39401640095,Presente,C,B,C,C,C,D,C,B,A,C,E,E,E,D,B,C,E,D,B,A,B,B,D,B,A,D,A,C,D,C,B,D,B,D,E,A,A,B,B,B,D,E,D,C,B,B,B,D,D,A,A,A,A,C,C,E,B,D,C,B,C,A,B,A,D,C,A,C,C,D,2016
1932,39401665027,Presente,E,D,E,C,C,B,C,A,E,C,D,E,A,C,E,D,C,D,B,E,B,D,C,B,A,D,D,C,D,C,B,E,E,D,A,A,A,B,D,E,C,E,D,B,C,A,E,E,C,B,D,B,B,A,D,C,E,C,E,C,D,A,A,A,E,B,A,E,E,D,2016
1934,39401636574,Presente,E,A,D,B,E,C,A,D,D,B,C,E,C,A,B,E,B,D,B,A,A,E,D,B,B,C,A,C,A,E,B,D,B,A,E,D,C,C,E,A,D,D,D,B,E,A,C,A,B,B,C,A,B,A,D,C,E,D,A,C,C,A,B,E,E,B,A,C,B,D,2016
1935,39401657512,Presente,E,A,B,C,A,A,C,E,E,C,D,D,D,C,D,D,C,E,B,B,A,C,B,B,A,B,C,C,D,C,B,E,B,C,E,D,B,A,D,A,B,C,C,D,B,D,C,C,E,D,E,B,C,A,B,C,D,A,D,B,E,A,B,A,C,C,D,D,C,D,2016
1936,39401649131,Presente,E,E,E,A,C,B,C,A,C,B,C,E,D,E,B,A,E,D,D,D,D,B,D,D,A,A,D,C,C,C,B,D,D,B,B,A,A,A,C,E,D,D,D,D,E,A,E,E,C,D,C,A,A,B,C,C,C,D,C,D,C,A,B,E,E,C,A,E,B,A,2016
1937,39401638619,Presente,D,A,D,E,B,A,C,D,C,C,D,E,C,B,B,A,E,D,A,D,E,A,E,E,A,D,D,B,D,A,B,D,B,E,C,A,A,B,D,C,A,E,B,B,D,B,C,A,E,B,C,D,A,A,E,C,A,D,C,B,A,A,C,E,B,E,A,A,D,A,2016
1939,39401673893,Presente,C,B,A,C,C,A,B,B,C,C,D,E,D,C,B,D,D,D,B,A,A,B,B,B,E,B,C,C,A,A,B,C,D,E,A,D,A,B,C,C,B,D,A,E,B,B,D,D,D,B,C,C,D,A,E,C,E,B,A,C,E,A,A,B,C,D,E,C,A,C,2016
1940,39401659349,Presente,E,A,B,D,A,A,C,D,E,C,A,E,D,B,D,D,B,E,B,B,A,A,E,E,A,D,C,C,C,E,B,A,B,C,D,A,A,B,D,E,C,B,D,E,D,A,E,E,A,E,E,C,C,*,B,C,B,D,E,A,D,E,A,B,D,C,A,D,B,C,2016
1941,39401647855,Presente,E,A,D,C,A,B,D,B,E,D,E,E,B,C,A,D,D,B,B,C,B,A,E,E,A,A,E,C,C,A,B,A,C,C,E,A,A,A,D,B,A,A,B,B,A,C,C,E,B,B,E,B,A,B,D,C,A,A,E,A,E,A,B,A,D,C,A,C,A,D,2016
1943,39401651878,Presente,E,C,B,E,A,C,D,E,B,B,C,E,B,D,D,D,E,E,B,C,E,A,D,B,A,D,A,C,D,B,B,A,B,E,B,A,A,B,C,B,D,C,A,E,D,C,B,E,D,D,A,A,C,A,E,C,A,E,C,B,D,A,D,A,E,C,B,C,B,D,2016
1944,39401681560,Presente,E,A,E,D,A,A,C,D,A,C,A,E,D,B,A,D,B,E,B,B,E,B,E,E,C,D,B,C,D,C,B,C,E,C,D,A,A,A,D,D,A,E,A,E,B,C,D,D,A,D,C,A,A,B,C,C,E,C,E,A,A,A,A,A,E,C,C,A,B,C,2016
1945,39401640376,Presente,E,C,D,E,C,D,A,B,D,A,B,E,E,B,C,B,C,B,B,B,A,D,B,B,A,C,A,C,D,E,B,D,B,D,A,D,A,B,C,E,B,E,D,B,D,C,A,D,B,B,D,D,A,A,C,A,B,D,E,A,A,E,A,A,E,C,C,B,B,C,2016
1947,39401641508,Presente,A,D,B,C,D,B,E,A,B,D,C,E,A,D,B,A,E,D,B,A,C,B,E,E,A,E,D,C,A,E,B,C,B,A,D,E,C,C,D,B,E,C,D,A,C,E,B,E,C,D,B,D,A,E,D,A,C,D,B,A,D,A,E,A,E,C,A,B,C,A,2016
1948,39401642762,Presente,D,D,C,C,E,D,D,D,E,C,D,E,D,D,B,D,D,D,B,C,D,C,C,B,A,D,C,C,A,E,B,E,D,D,B,D,C,C,D,C,D,B,D,D,D,A,D,E,D,C,B,D,D,D,C,C,D,E,A,A,D,D,D,C,E,C,B,D,D,B,2016
1949,39401641233,Presente,E,A,B,D,A,A,C,B,C,C,A,E,A,C,A,E,B,E,B,E,A,C,E,E,A,D,A,C,B,A,B,A,B,C,C,A,A,C,D,C,A,E,A,D,C,A,B,D,B,B,D,A,A,E,C,A,C,C,C,A,C,D,B,A,E,C,C,C,C,C,2016
1952,39401668785,Presente,E,A,C,B,E,A,C,A,D,B,E,E,D,D,D,B,E,E,B,C,A,B,E,E,A,C,C,C,B,C,B,A,C,C,D,A,A,A,D,C,A,E,A,E,B,E,E,C,B,D,E,B,C,B,D,D,D,D,C,D,D,D,C,A,E,C,A,C,B,D,2016
1955,39401644513,Presente,E,A,B,E,D,D,E,B,E,B,A,E,D,B,C,A,B,D,B,B,A,C,C,E,A,C,C,D,C,C,B,D,B,E,C,A,A,B,E,D,C,C,C,E,B,C,D,C,D,B,A,B,A,C,C,E,E,A,D,B,C,D,E,B,E,D,A,C,C,E,2016
1956,39401684523,Presente,E,A,C,E,A,B,C,D,C,C,E,E,D,D,D,C,B,E,B,B,B,B,A,B,A,A,A,C,B,B,B,A,B,C,D,A,A,A,D,E,B,B,D,C,B,A,E,C,B,D,C,D,A,A,E,C,A,D,E,A,D,A,A,A,E,C,C,C,A,A,2016
1959,39402639954,Presente,E,D,C,C,B,A,C,B,E,A,A,E,D,B,D,D,B,E,B,D,A,B,E,E,A,D,A,C,A,B,B,A,B,E,A,A,A,A,D,B,A,C,B,C,C,C,D,C,B,D,B,B,C,A,D,C,B,D,D,A,A,A,C,A,A,C,C,B,B,A,2016
1960,39401652447,Presente,E,A,C,B,A,C,C,C,E,B,E,E,B,B,B,B,E,A,D,B,B,B,E,E,A,D,D,C,D,E,B,C,D,B,D,A,B,B,D,D,E,B,B,C,B,E,C,D,C,D,A,E,B,B,E,C,D,D,C,B,D,A,C,A,C,C,B,E,E,D,2016
1962,39401684513,Presente,E,A,C,C,C,A,E,D,C,C,D,E,C,B,B,D,B,E,B,D,B,B,C,B,A,D,A,C,A,A,A,A,D,C,B,A,A,C,D,E,E,C,E,D,B,A,C,C,B,B,D,A,A,C,B,C,D,A,B,A,A,A,B,A,E,B,A,B,E,E,2016
1963,39401671964,Presente,D,A,B,C,D,A,C,B,D,A,E,B,C,B,D,B,B,B,B,B,A,A,E,E,C,B,D,C,A,D,D,A,B,E,B,A,E,B,D,A,C,A,A,C,D,B,D,C,E,A,D,B,D,C,E,A,A,C,D,B,A,B,E,E,C,C,B,C,B,D,2016
1964,39402684067,Presente,E,B,B,E,B,B,C,B,B,B,A,E,E,E,B,D,B,E,B,B,B,A,C,B,A,D,E,C,B,A,B,D,E,A,B,A,A,B,E,D,B,C,D,A,B,A,B,E,B,D,A,D,E,B,C,C,C,D,E,B,D,A,D,A,E,C,E,C,B,D,2016
1965,39401639897,Presente,A,C,E,B,B,A,C,B,A,B,C,E,C,E,C,B,B,C,B,A,E,B,C,B,A,C,A,C,B,D,B,D,B,E,B,A,C,C,E,A,E,E,E,C,B,E,E,C,B,E,B,C,B,A,E,E,E,C,A,A,C,A,B,C,E,C,B,D,A,C,2016
1966,39401658852,Presente,E,B,B,B,B,B,B,B,B,B,B,E,B,B,E,B,B,B,A,E,B,A,B,D,C,B,D,C,E,D,A,B,D,B,B,B,C,E,B,B,B,C,B,B,E,B,B,B,B,B,B,B,B,B,B,D,B,B,E,B,B,B,B,B,C,B,B,B,B,E,2016
1967,39401671923,Presente,E,A,D,C,B,A,C,E,D,A,A,E,D,C,A,E,B,E,B,A,A,B,E,D,A,C,D,C,B,A,B,B,B,E,D,A,A,B,C,B,A,E,D,C,B,C,B,A,E,D,D,A,A,A,B,E,C,B,E,A,D,E,A,A,E,C,A,E,D,A,2016
1968,39401635813,Presente,C,A,A,D,A,B,C,A,E,C,A,E,E,B,A,D,B,E,B,A,A,E,E,E,A,D,A,C,B,E,B,A,B,A,D,A,A,C,D,C,B,E,A,A,C,E,C,E,B,D,D,E,A,E,C,A,E,D,E,A,D,E,C,A,D,C,A,C,B,D,2016
1970,39401637980,Presente,B,D,D,B,E,D,E,C,B,B,A,E,C,B,C,A,B,A,E,B,A,B,E,E,A,A,D,C,B,D,C,D,E,C,B,A,C,B,B,C,B,B,D,E,B,A,B,E,A,E,C,B,A,A,D,A,A,E,D,B,A,E,C,A,E,B,E,B,A,D,2016
1971,39401652305,Presente,A,A,B,B,A,A,B,A,D,C,C,E,C,D,C,D,C,D,E,B,A,B,E,E,A,C,B,A,E,C,B,D,B,D,B,A,A,C,E,D,B,B,E,E,C,A,D,E,B,B,A,B,D,C,D,B,A,C,D,A,D,A,C,C,A,E,C,C,B,B,2016
1972,39401682553,Presente,E,A,D,B,A,B,C,E,B,B,D,E,B,E,B,C,E,D,D,A,A,B,E,A,B,A,C,E,D,A,A,D,B,E,C,D,B,B,D,E,A,B,B,D,E,C,D,A,D,E,C,B,A,A,C,A,B,D,E,C,E,D,A,B,D,A,A,C,D,B,2016
1973,39402684983,Presente,E,A,D,B,D,A,C,E,E,A,E,E,D,C,A,A,B,E,B,B,B,A,C,B,A,C,B,D,E,C,B,D,B,C,E,A,A,B,D,B,B,E,C,C,D,B,A,E,C,B,C,E,E,C,A,C,D,D,C,E,C,A,C,E,E,C,B,A,B,D,2016
1974,39401641856,Presente,E,A,E,A,A,A,B,E,A,E,E,E,D,D,B,B,B,E,B,B,B,B,C,B,A,D,B,A,D,A,A,C,C,C,E,A,A,C,D,E,A,E,D,B,C,C,C,D,A,B,E,B,A,A,B,C,E,D,C,D,D,D,C,B,E,B,B,D,B,D,2016
1975,39401663729,Presente,C,A,E,B,B,E,C,B,D,B,E,E,B,B,D,B,E,C,B,C,B,B,E,E,A,B,D,C,D,A,B,D,C,E,C,A,A,C,D,B,A,C,A,B,E,C,A,A,B,D,B,C,D,A,B,C,C,C,E,D,A,B,B,A,E,C,A,C,B,B,2016
1978,39401649844,Presente,D,B,C,C,D,A,A,D,C,C,D,E,C,B,C,D,E,B,B,B,E,D,B,B,B,C,B,C,D,C,A,B,C,D,B,C,*,A,C,E,B,C,B,C,D,A,C,D,B,C,A,D,A,C,E,E,B,D,E,A,E,C,B,B,E,C,C,B,B,C,2016
1979,39401639965,Presente,E,D,D,D,D,D,D,D,D,D,D,E,E,D,A,A,B,D,D,D,D,D,E,E,A,D,B,C,D,C,B,D,B,D,D,D,D,C,D,D,D,E,E,D,D,B,D,A,A,D,D,B,A,A,D,A,D,D,D,E,D,A,A,A,C,C,A,D,D,C,2016
1980,39401642140,Presente,E,B,D,E,A,B,E,C,E,C,E,E,D,A,D,B,B,D,B,B,A,C,B,E,A,E,C,A,E,C,B,A,B,C,D,A,A,C,D,A,A,C,D,B,B,D,D,C,C,B,C,B,C,A,B,C,D,C,C,D,A,E,C,B,E,B,B,B,B,D,2016
1981,39401664314,Presente,E,B,C,D,B,A,C,D,E,A,C,E,D,D,E,B,A,E,B,*,E,B,A,E,A,A,B,C,E,C,B,D,D,C,B,A,B,B,D,A,C,C,B,B,C,E,D,B,E,E,B,D,A,C,D,C,D,E,B,A,D,A,B,A,B,E,A,C,B,D,2016
1982,39402684786,Presente,E,B,C,B,E,A,C,A,E,C,C,E,D,E,B,D,C,D,B,C,E,A,E,D,A,A,C,C,B,E,B,B,C,C,D,B,A,E,E,A,A,C,A,D,C,C,D,E,A,D,C,B,A,B,D,C,D,C,E,A,D,A,C,B,D,C,A,C,B,C,2016
1983,39401660633,Presente,E,E,B,C,D,B,B,B,D,C,E,E,A,E,C,E,B,D,C,D,B,B,E,E,B,D,B,C,D,C,B,C,E,B,E,C,A,C,D,E,E,B,D,D,B,B,A,D,C,B,E,E,A,A,D,A,B,D,E,C,C,A,A,A,E,C,A,B,B,C,2016
1984,39401684795,Presente,E,A,B,D,A,A,C,D,D,B,D,E,D,E,C,B,B,D,D,B,B,D,D,E,C,C,B,A,E,C,B,A,B,B,D,A,C,A,E,E,A,C,E,B,E,E,D,E,A,B,C,E,C,A,D,C,A,D,C,E,D,A,A,A,E,C,A,D,B,D,2016
1985,39401658316,Presente,E,C,B,D,C,A,E,D,E,A,A,E,E,C,D,D,B,E,B,B,A,B,C,B,A,E,E,C,E,A,B,A,B,C,E,C,A,A,D,E,E,B,A,C,C,C,A,B,A,C,E,B,D,A,C,A,D,D,C,A,E,A,C,A,C,C,A,E,A,A,2016
1986,39401670524,Presente,E,A,D,C,A,C,C,A,E,A,D,E,E,C,B,C,B,E,B,D,B,E,E,E,A,A,B,C,D,C,B,D,C,E,C,E,D,B,D,C,B,E,B,C,A,A,E,A,D,D,C,D,B,A,B,C,C,C,E,D,D,A,C,*,E,D,B,E,B,C,2016
1988,39401642569,Presente,E,B,B,C,B,B,C,D,E,C,E,E,C,D,E,D,D,D,B,C,A,A,B,A,A,A,A,A,A,C,A,D,B,E,E,A,A,B,D,E,B,C,A,B,E,B,E,A,C,D,E,D,A,A,B,C,A,D,E,B,D,A,C,A,D,C,A,B,B,C,2016
1989,39402666186,Presente,E,A,B,C,E,B,B,C,E,C,A,E,E,C,A,B,B,A,B,D,E,A,E,A,A,C,B,A,B,D,B,A,C,C,C,B,C,A,D,E,C,C,D,D,B,D,C,C,B,D,D,D,C,C,D,C,B,E,A,C,B,E,B,A,B,C,A,D,B,C,2016
1990,39401645732,Presente,B,A,C,D,D,B,B,C,D,E,E,E,D,B,B,A,C,E,D,E,B,A,E,E,C,C,C,A,B,A,B,E,A,E,B,A,C,E,D,C,A,E,B,D,A,B,C,E,B,B,C,D,A,A,B,C,A,A,A,A,E,A,A,B,B,C,C,D,B,C,2016
1991,39401656781,Presente,E,A,C,E,D,C,C,C,B,E,D,E,D,B,B,B,B,E,E,B,B,A,E,E,A,A,B,C,D,D,A,E,C,C,D,A,B,A,E,E,A,E,B,C,E,D,C,E,C,D,D,B,A,A,B,C,E,D,E,E,D,A,A,E,A,C,A,B,A,D,2016
1992,39401659563,Presente,B,C,C,C,E,A,C,C,C,D,E,D,D,D,C,C,B,B,A,E,A,E,C,B,A,E,C,E,C,C,B,E,A,C,D,C,A,C,D,C,B,C,D,C,E,D,C,B,A,B,B,B,C,C,D,C,A,A,E,D,A,A,A,A,E,C,C,B,B,C,2016
1993,39401656913,Presente,A,D,D,D,C,C,C,C,E,A,D,E,B,C,B,B,D,D,B,D,A,A,A,A,A,B,B,C,E,C,A,D,A,C,C,A,D,A,E,A,B,E,E,B,B,B,C,E,A,B,A,D,A,C,D,A,D,D,A,A,B,B,A,E,E,C,C,E,A,D,2016
1994,39401641786,Presente,D,A,E,C,E,B,C,B,C,B,E,E,D,A,C,E,C,A,B,D,A,E,B,B,B,B,C,A,E,E,B,D,A,C,A,E,D,C,E,C,*,C,C,E,D,E,A,B,D,B,E,A,D,A,A,C,E,A,D,E,D,A,A,D,E,C,D,B,C,C,2016
1995,39401684798,Presente,E,A,C,C,D,B,B,B,C,C,C,E,C,E,B,D,E,C,C,B,E,A,E,E,A,C,E,A,C,D,B,D,B,C,B,A,B,A,E,E,C,D,*,B,D,C,C,C,E,D,C,D,E,A,B,C,E,A,E,E,E,D,A,A,E,B,A,E,B,C,2016
1996,39401668140,Presente,E,A,C,C,A,A,B,D,A,D,E,E,C,C,A,D,B,E,B,B,A,B,C,E,A,D,A,C,C,A,B,A,C,C,C,D,A,C,D,D,A,C,A,C,D,C,C,A,C,D,C,B,C,C,C,C,A,D,D,A,C,A,C,A,E,C,B,A,B,C,2016
1997,39401683221,Presente,E,A,C,B,D,B,C,A,E,B,D,E,B,E,A,D,B,D,B,C,B,B,C,A,A,D,D,A,B,C,B,A,B,E,D,C,A,A,D,C,A,C,B,D,B,C,D,C,A,B,D,C,C,A,D,E,B,C,D,A,D,A,E,A,D,C,B,D,A,C,2016
1998,39401653626,Presente,E,A,D,D,B,C,A,E,E,C,D,E,C,D,C,C,E,D,B,B,A,B,E,E,A,D,C,C,C,A,A,D,B,C,C,A,C,B,D,E,A,A,D,E,D,B,C,E,B,D,A,A,D,A,B,B,A,D,A,A,E,B,C,B,E,B,E,C,B,A,2016
1999,39401657943,Presente,E,B,D,C,E,E,E,E,E,E,E,E,D,C,B,A,B,D,B,C,A,B,C,A,A,D,C,C,C,E,B,D,E,C,D,B,A,B,E,D,D,E,D,A,E,C,B,E,D,D,D,E,C,A,E,E,A,E,E,A,B,A,C,A,E,C,C,E,B,A,2016
2000,39401675276,Presente,E,A,C,E,C,B,B,B,E,C,C,E,E,E,B,A,B,E,B,B,E,B,B,B,B,C,B,C,E,E,B,E,B,C,D,A,B,E,E,C,A,E,B,C,C,E,A,E,D,B,E,D,A,A,B,C,D,D,E,D,D,A,A,B,E,B,A,E,A,B,2016
2001,39401665612,Presente,E,A,C,D,C,B,C,A,C,B,B,E,B,A,B,D,B,B,B,B,B,C,B,B,A,D,A,C,E,D,B,A,B,C,A,A,A,B,D,C,A,C,B,C,E,A,E,A,B,B,C,A,C,A,E,C,A,A,E,A,C,A,C,E,C,B,D,C,A,C,2016
2002,39401650674,Presente,E,C,B,B,C,A,B,C,E,C,C,E,D,C,B,B,B,D,B,B,B,B,E,E,A,D,E,C,B,C,B,D,B,C,D,A,A,A,D,E,A,B,A,C,B,C,D,E,E,D,E,E,A,B,D,E,B,A,E,B,D,A,C,A,E,C,A,E,B,A,2016
2004,39401635431,Presente,A,A,E,D,A,A,C,D,E,A,E,E,C,E,C,B,B,E,B,C,B,E,E,E,A,D,E,C,E,C,A,A,B,D,E,A,A,A,E,E,B,D,A,E,C,A,A,E,A,B,B,D,D,A,B,E,B,E,B,C,C,B,D,B,C,A,A,D,B,C,2016
2005,39401639971,Presente,A,A,C,C,C,C,C,B,D,A,D,E,B,B,E,B,B,D,A,B,B,D,E,E,A,D,B,C,E,C,B,D,E,E,A,E,C,B,D,A,B,A,B,D,A,E,C,E,B,B,C,B,B,A,A,C,A,D,C,A,B,A,D,C,E,B,A,B,B,C,2016
2006,39401665361,Presente,E,B,B,E,E,A,B,B,E,B,A,E,D,D,D,B,B,C,B,B,E,B,A,E,D,D,A,C,C,C,B,C,C,C,B,A,A,A,D,B,B,A,A,B,C,B,D,D,A,B,D,D,E,B,B,C,A,D,C,E,A,A,B,A,E,B,B,B,B,B,2016
2008,39401662012,Presente,E,A,B,A,C,B,D,E,D,C,A,D,D,B,C,E,C,D,A,C,A,E,B,A,E,A,C,B,D,A,E,B,D,C,A,B,A,D,B,C,A,E,C,A,B,D,E,C,D,A,C,A,A,E,C,C,A,E,E,D,D,B,E,A,D,B,E,B,A,D,2016
2009,39402663349,Presente,E,A,D,E,C,B,E,C,B,A,B,E,D,A,C,E,E,D,A,B,A,C,C,A,A,D,C,B,D,B,A,D,E,B,D,E,C,A,C,D,B,C,C,E,B,A,E,B,C,A,D,D,E,C,B,E,B,C,B,D,C,A,E,A,D,C,B,E,D,B,2016
2010,39401649314,Presente,E,A,B,E,E,A,C,E,A,D,A,E,C,E,B,D,E,E,B,D,B,B,B,A,A,D,D,D,C,D,B,A,B,E,D,A,A,A,E,E,B,B,A,E,B,C,E,E,B,E,C,B,A,B,B,C,D,D,C,D,A,E,C,A,E,C,A,C,B,D,2016
2012,39402684785,Presente,C,C,C,C,C,B,C,C,E,A,A,E,D,A,B,B,C,E,B,B,A,B,A,E,A,D,A,C,A,C,B,A,*,C,C,C,A,A,D,B,C,E,C,*,D,*,C,E,C,D,C,D,D,A,C,C,C,E,E,A,C,A,C,A,E,C,C,C,B,C,2016
2013,39401639644,Presente,E,C,D,B,D,A,C,B,B,C,D,E,B,D,C,B,A,D,D,C,C,E,A,B,A,B,C,E,C,D,B,B,C,C,E,D,C,C,B,E,A,B,D,C,B,B,E,E,A,A,B,D,A,C,D,E,B,D,A,E,C,A,D,A,A,B,C,D,E,D,2016
2014,39401669766,Presente,A,D,D,C,E,A,B,C,D,B,C,E,D,B,C,E,E,A,B,D,A,D,D,B,B,B,E,C,C,E,B,D,D,E,D,B,C,B,D,E,E,E,E,D,C,B,D,B,D,B,E,D,A,A,C,A,C,D,C,A,D,A,D,A,E,C,B,B,E,D,2016
2015,39401682608,Presente,E,A,C,B,A,A,E,D,A,A,C,E,C,D,E,B,E,A,A,B,A,D,D,E,B,C,B,A,B,E,B,D,B,D,D,A,B,E,E,B,C,C,A,B,E,D,B,B,C,C,E,A,C,A,D,C,A,D,A,C,A,C,C,A,C,B,C,A,E,C,2016
2016,39401655431,Presente,E,A,C,D,C,B,C,D,E,C,E,D,D,D,D,D,B,E,B,D,E,B,C,B,A,D,B,C,D,A,B,A,B,B,D,A,A,C,D,E,B,D,C,C,E,A,C,C,D,A,C,B,B,A,E,C,A,D,D,A,A,A,A,A,E,B,A,C,A,C,2016
2017,39401671614,Presente,A,B,D,C,B,B,D,B,C,E,E,E,B,A,D,D,B,D,B,D,E,A,B,E,A,D,A,C,C,A,D,B,C,D,B,E,D,E,D,A,C,B,B,C,A,D,C,D,B,D,D,D,A,C,E,B,A,C,E,A,A,E,A,A,C,B,C,A,B,A,2016
2018,39401674012,Presente,E,A,D,B,B,A,C,B,C,C,E,E,D,B,D,D,B,E,B,B,A,C,A,E,A,D,D,C,A,A,B,C,B,C,B,A,A,A,D,E,A,E,D,E,B,A,C,A,E,D,E,C,A,A,D,E,A,D,B,B,D,A,E,A,C,C,A,B,B,D,2016
2020,39401685130,Presente,E,A,D,C,A,A,C,A,A,C,E,E,C,A,A,B,E,E,A,E,B,D,B,C,A,D,C,C,B,C,B,A,E,E,B,A,A,A,D,E,B,C,D,C,C,A,A,C,A,B,A,A,E,B,B,E,A,D,D,B,D,A,A,A,E,E,C,E,B,D,2016
2021,39401648353,Presente,E,C,D,A,D,A,B,C,C,C,D,E,D,C,D,B,B,D,B,D,E,A,B,E,A,A,A,C,C,C,B,A,B,C,D,A,A,A,D,C,B,C,D,E,E,E,C,E,D,D,E,D,A,A,B,A,E,D,C,A,D,A,A,A,D,C,A,C,B,C,2016
2022,39401660985,Presente,E,C,C,E,B,A,E,C,C,C,B,E,D,A,B,B,B,D,B,C,D,D,B,B,A,B,D,C,D,B,B,B,D,E,B,D,C,C,C,B,A,C,A,E,C,D,B,D,E,D,D,B,C,C,C,A,E,D,C,A,E,A,C,A,E,C,A,B,C,E,2016
2023,39401684881,Presente,E,C,D,C,A,B,B,C,A,D,B,E,C,E,E,D,B,B,B,A,E,B,A,B,A,C,B,C,B,A,B,D,C,B,B,B,A,B,E,A,E,A,E,D,B,D,B,E,E,A,E,E,A,C,B,A,C,D,C,A,A,E,C,A,D,C,A,B,B,B,2016
