,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Algebra Linear,NOTA Análise Combinatória,NOTA Cálculo Diferencial e Integral,NOTA Geometria Analítica,NOTA Matemática Discreta,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Análise de Algorítmos,NOTA Algorítmos e Estrutura de Dados,NOTA Arquitetura e Organização de Computadores,NOTA Circuitos Digitais,NOTA Linguagens de Programação,"NOTA Linguagens Formais, Autômatos e Computabilidade",NOTA Organização de Arquivos e Dados,NOTA Sistemas Operacionais,NOTA Técnicas de Programação,NOTA Teoria dos Grafos,NOTA Banco de Dados,NOTA Compiladores,NOTA Computação Gráfica,NOTA Engenharia de Software,NOTA Inteligência Artificial,NOTA Processamento de Imagens,NOTA Redes de Computadores,NOTA Sistemas Distribuídos,NOTA TOTAL TO
819,Mestrado/Doutorado,Computação Paralela e Distribuída,42101824810-0,"1,01601E+11",2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,40.0
820,Mestrado/Doutorado,Segurança e Criptografia Aplicada,42101810433-7,"1,05101E+11",0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,32.0
821,Mestrado/Doutorado,Aprendizado de Máquina,42101812533-7,"1,018E+11",2.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,35.0
822,Mestrado/Doutorado,Visualização e Interação,42101824222-5,"1,05E+11",1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,36.0
823,Mestrado/Doutorado,Bioinformática e Biologia Computacional,42101829266-0,"1,053E+11",3.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,36.0
824,Mestrado/Doutorado,Engenharia de Software,42101831459-0,"1,03901E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
825,Mestrado/Doutorado,Sistemas de Informação,42101822804-0,"1,043E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
826,Mestrado/Doutorado,Sistemas de Comunicação.,42101811148-0,"1,019E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
827,Mestrado/Doutorado,Banco de Dados,42101809342-0,"1,007E+11",1.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,34.0
828,Mestrado/Doutorado,Fundamentos Matemáticos da Computação,42101832688-6,"1,01E+11",2.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,29.0
829,Mestrado/Doutorado,Gestão de Riscos,42101825429-6,"1,006E+11",0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,30.0
830,Mestrado/Doutorado,Engenharia de Software,42101824668-7,"1,027E+11",1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,37.0
831,Mestrado/Doutorado,Computação Aplicada,42101835751-8,"1,05101E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
832,Mestrado/Doutorado,Otimização e Inteligência Computacional,42101809700-6,"1,055E+11",0.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,26.0
833,Mestrado/Doutorado,Processamento Gráfico,42101834941-8,"1,006E+11",1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,27.0
834,Mestrado/Doutorado,Sistemas de Computação,42101831351-3,"1,053E+11",1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,32.0
835,Mestrado/Doutorado,"Lógica, Inteligência Artificial e Métodos Formais",42101810971-6,"1,015E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
836,Mestrado/Doutorado,Computação básica,42101825001-0,"1,037E+11",2.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,34.0
837,Mestrado/Doutorado,Metodologia e Técnicas da Computação,42101825148-0,"1,05101E+11",1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,30.0
838,Mestrado/Doutorado,"Engenharia de Software, Banco de Dados e Interação Humano Computador",42101830521-7,"1,015E+11",0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,20.0
839,Mestrado/Doutorado,"Processamento Gráfico, Interação e Computação Aplicada",42101834379-9,"1,021E+11",0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,27.0
840,Mestrado/Doutorado,Mecânica dos Fluidos Computacional/Otimização/Modelos Estocásticos.,42101833049-6,"1,047E+11",1.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
841,Mestrado/Doutorado,Informática na Educação,42101831705-1,"1,013E+11",2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,36.0
842,Mestrado/Doutorado,Aprendizagem de Máquina e Mineração,42101809706-6,"1,01E+11",2.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,39.0
843,Mestrado/Doutorado,"Análise de Dados, Descoberta de Conhecimento e Recuperação de Informação",42101828814-6,"1,026E+11",1.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,41.0
844,Mestrado/Doutorado,Inferência em Dados Complexos,42101812435-0,"1,047E+11",2.0,3.0,1.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,43.0
845,Mestrado/Doutorado,Banco de Dados,42101833115-9,"1,05E+11",2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,30.0
846,Mestrado/Doutorado,Engenharia de Software,42101811103-7,"1,05301E+11",1.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,35.0
847,Mestrado/Doutorado,Teoria da Computação,42101809588-7,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
848,Mestrado/Doutorado,Segurança de Dados e Criptografia,42101812671-7,"1,021E+11",1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,34.0
849,Mestrado/Doutorado,Sistemas de Informação e Computação,42101824468-2,"1,015E+11",1.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,33.0
850,Mestrado/Doutorado,Algoritmos e Otimização,42101809612-7,"1,05101E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
851,Mestrado/Doutorado,"Análise de Dados, Descoberta de Conhecimento e Recuperação de Informação",42101829551-3,"1,008E+11",0.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,32.0
852,Mestrado/Doutorado,Sistemas Híbridos,42101811335-6,"1,03901E+11",2.0,1.0,1.0,2.0,2.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,39.0
853,Autoavaliação,,42102830160-4,"1,018E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
854,Mestrado/Doutorado,Sistemas Distribuídos e Redes de Computadores,42101834875-5,"1,012E+11",1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,25.0
855,Mestrado/Doutorado,Metodologia e Técnicas da Computação,42101812947-4,"1,05101E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
856,Mestrado/Doutorado,Sistemas de Informação,42101809582-7,"1,019E+11",2.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,3.0,41.0
857,Mestrado/Doutorado,Computação básica,42101834779-8,"1,043E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
858,Mestrado/Doutorado,Inteligência Computacional,42101821429-0,"1,014E+11",1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,24.0
859,Mestrado/Doutorado,Sistemas Distribuídos e Redes de Computadores,42101809936-5,"1,047E+11",2.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,40.0
860,Mestrado/Doutorado,Tecnologias e Sistemas de Computação,42101824666-7,"1,043E+11",2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,27.0
861,Mestrado/Doutorado,Engenharia de Software,42101812338-2,"1,019E+11",2.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,39.0
862,Mestrado/Doutorado,Sistemas Computacionais,42101824311-4,"1,05101E+11",1.0,2.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,32.0
863,Mestrado/Doutorado,Tecnologia da Informação,42101810978-6,"1,01601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
864,Mestrado/Doutorado,Modelos e Arquiteturas para Sistemas Inteligentes,42101834352-2,"1,043E+11",1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,30.0
865,Mestrado/Doutorado,Sistemas de Computação,42101835683-5,"1,009E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
866,Mestrado/Doutorado,Fundamentos da Computação,42101809647-1,"1,05101E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
867,Mestrado/Doutorado,"Visão Computacional, Reconhecimento de Padrões e Computação Forense",42101835234-5,"1,01601E+11",2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,34.0
868,Mestrado/Doutorado,Computação Visual,42101811533-0,"1,007E+11",1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,26.0
869,Mestrado/Doutorado,Linguagens de Programação,42101811299-8,"1,043E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
870,Autoavaliação,,42102812679-0,"1,008E+11",2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,45.0
871,Mestrado/Doutorado,"Engenharia de Software, Banco de Dados e Informática e Educação",42101835330-2,"1,021E+11",1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,27.0
872,Mestrado/Doutorado,Inteligência Computacional,42101835053-7,"1,01601E+11",2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,30.0
873,Mestrado/Doutorado,Metodologia e Técnicas da Computação,42101824644-0,"1,05102E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
874,Mestrado/Doutorado,Sistemas de Informação,42101835153-4,"1,043E+11",2.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,41.0
875,Mestrado/Doutorado,Metodologia e Técnicas da Computação,42101834532-0,"1,043E+11",2.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,31.0
876,Mestrado/Doutorado,Gestão da Informação,42101831028-7,"1,00701E+11",0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,20.0
877,Mestrado/Doutorado,Sistemas de Informação,42101825496-3,"1,055E+11",1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,30.0
878,Mestrado/Doutorado,Processamento Gráfico e Inteligência Computacional,42101825134-2,"1,034E+11",1.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,33.0
879,Mestrado/Doutorado,Bioinformática,42101833973-6,"1,054E+11",2.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,29.0
880,Mestrado/Doutorado,"Computação Gráfica, Imagens e Visualização",42101810424-9,"1,041E+11",2.0,3.0,3.0,0.0,1.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,49.0
881,Mestrado/Doutorado,Algoritmos,42101823525-0,"1,008E+11",2.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,48.0
882,Mestrado/Doutorado,Metodologias e Técnicas de Computação,42101834038-4,"1,008E+11",1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,29.0
883,Mestrado/Doutorado,Redes de Computadores,42101810217-6,"1,00701E+11",1.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,26.0
884,Mestrado/Doutorado,"Computação Gráfica, Processamento de Imagens e Interação",42101827492-6,"1,03901E+11",1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,32.0
885,Mestrado/Doutorado,Representação de Conhecimento e Raciocínio,42101810284-3,"1,055E+11",1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,34.0
886,Mestrado/Doutorado,Sistemas Embarcados,42101809345-0,"1,03E+11",0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,31.0
887,Mestrado/Doutorado,Modelagem e Simulação,42101834210-2,"1,045E+11",3.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,38.0
888,Mestrado/Doutorado,Otimização,42101810578-7,"1,055E+11",0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,29.0
889,Mestrado/Doutorado,Sistemas de Computação,42101831631-9,"1,023E+11",1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,27.0
890,Autoavaliação,,42102835813-6,"1,017E+11",1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,21.0
891,Mestrado/Doutorado,Sistemas de computação,42101835483-0,"1,048E+11",2.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,38.0
892,Mestrado/Doutorado,Sistemas Distribuídos,42101834730-5,"1,01601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
893,Mestrado/Doutorado,Desenvolvimento de Sistemas Operacionais,42101822263-5,"1,00701E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
894,Mestrado/Doutorado,Sistemas Distribuídos,42101810444-5,"1,003E+11",1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,26.0
895,Mestrado/Doutorado,Sistemas Embarcados e Robótica,42101833595-3,"1,038E+11",0.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,32.0
896,Mestrado/Doutorado,Sistemas de Software,42101809443-7,"1,046E+11",3.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,29.0
897,Mestrado/Doutorado,Redes de Computadores,42101822143-1,"1,005E+11",0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,23.0
898,Mestrado/Doutorado,Computação Visual,42101834751-1,"1,026E+11",0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,32.0
899,Mestrado/Doutorado,Modelos Computacionais e Cognitivos,42101825696-8,"1,01E+11",2.0,3.0,1.0,2.0,3.0,0.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,42.0
900,Mestrado/Doutorado,Sistemas Digitais,42101809367-6,"1,015E+11",1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,31.0
901,Mestrado/Doutorado,Modelagem e Análise de Sistemas e Computação e Comunicação,42101809302-7,"1,043E+11",2.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,33.0
902,Mestrado/Doutorado,Tecnologia da Informação,42101812342-0,"1,029E+11",0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,26.0
903,Mestrado/Doutorado,Sistemas de Informação,42101835228-7,"1,019E+11",2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,38.0
904,Mestrado/Doutorado,Inteligência Artificial,42101810881-7,"1,05301E+11",1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,27.0
905,Mestrado/Doutorado,Engenharia de Software e Linguagens de Programação,42101809447-7,"1,01E+11",1.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,41.0
906,Mestrado/Doutorado,Algoritmos e Otimização,42101831656-5,"1,043E+11",2.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,35.0
907,Mestrado/Doutorado,Sistemas de Computação,42101834962-4,"1,021E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
908,Mestrado/Doutorado,Visão Computacional,42101833700-4,"1,012E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
909,Mestrado/Doutorado,Sistemas de Computação,42101823158-6,"1,008E+11",0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,30.0
910,Mestrado/Doutorado,Computação Aplicada,42101830987-5,"1,052E+11",1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,20.0
911,Mestrado/Doutorado,Engenharia de Software,42101810122-7,"1,003E+11",0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,27.0
912,Mestrado/Doutorado,Desenvolvimento de Sistemas Operacionais,42101833040-6,"1,00701E+11",3.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,24.0
913,Mestrado/Doutorado,Redes de Computadores,42101835488-0,"1,023E+11",1.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,27.0
914,Mestrado/Doutorado,Inteligência Computacional,42101810369-4,"1,017E+11",1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,23.0
915,Mestrado/Doutorado,Banco de Dados,42101827619-5,"1,043E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
916,Mestrado/Doutorado,Computação Aplicada,42101835735-1,"1,052E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
917,Mestrado/Doutorado,"Computação Gráfica, Imagens e Visualização",42101829275-8,"1,056E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
918,Mestrado/Doutorado,Sistemas de Informação,42101835590-6,"1,01601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
919,Mestrado/Doutorado,Modelos e Arquiteturas para Sistemas Inteligentes,42101809257-0,"1,043E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
920,Mestrado/Doutorado,Engenharia de Software,42101819594-0,"1,019E+11",1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,37.0
921,Mestrado/Doutorado,"Análise de Dados, Descoberta de Conhecimento e Recuperação de Informação",42101809262-9,"1,027E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
922,Mestrado/Doutorado,Sistemas Distribuídos e Redes de Computadores,42101826017-5,"1,021E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
923,Mestrado/Doutorado,Engenharia de Sistemas e Informação,42101832336-3,"1,01601E+11",2.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,1.0,3.0,0.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,37.0
924,Mestrado/Doutorado,Modelagem e Simulação,42101834674-0,"1,023E+11",2.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,25.0
