,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Álgebra Linear,NOTA Análise Combinatória,NOTA Calculo Diferencial e Integral,NOTA Geometria Analítica,NOTA Matemática Discreta,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Análise de Algoritmos,NOTA Algoritmos e Estrutura de Dados,NOTA Arquitetura e Organização de Computadores,NOTA Circuitos Digitais,NOTA Linguagens de Programação,"NOTA Linguagens formais, autômatos e Computabilidade",NOTA Organização de Arquivos e Dados,NOTA Sistemas Operacionais,NOTA Técnicas de Programação,NOTA Teoria dos Grafos,NOTA Banco de Dados,NOTA Compiladores,NOTA Computação Gráfica,NOTA Engenharia de Software,NOTA Inteligência Artificial,NOTA Processamento de Imagens,NOTA Redes de Computadores,NOTA Sistemas Distribuídos,NOTA TOTAL TO
763,Mestrado/Doutorado,Sistemas Computacionais Complexos,51801354173-4,"1,05001E+11",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,18.0
764,Mestrado/Doutorado,Interação Humano-Computador,51801388849-2,"1,01601E+11",2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,37.0
765,Mestrado/Doutorado,Inteligência Computacional,51801354263-3,"1,04201E+11",0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,25.0
766,Mestrado/Doutorado,Visão Computacional e Robótica,51801386177-3,"1,01601E+11",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,20.0
767,Mestrado/Doutorado,Inteligência artificial,51801356431-6,"1,05301E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
768,Autoavaliação,,51802388295-3,"1,02201E+11",2.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,37.0
769,Mestrado/Doutorado,Redes de Computadores e Sistemas Embarcados,51801392704-0,"1,03701E+11",2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,18.0
770,Mestrado/Doutorado,Interface Humano-Computador,51801388006-1,"1,03801E+11",1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,17.0
771,Mestrado/Doutorado,"Sistemas Distribuídos e Programação Concorrente / Sistemas Embarcados, Evoluídos e Robóticos",51801395267-1,"1,04701E+11",3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,40.0
772,Mestrado/Doutorado,Inteligência Artificial,51801393039-0,"1,05301E+11",1.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,30.0
773,Mestrado/Doutorado,Ciência de Dados,51801397417-8,"1,05102E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
774,Mestrado/Doutorado,Sistemas de Computação \ Sistemas Inteligentes,51801392186-1,"1,05201E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
775,Mestrado/Doutorado,Computação Aplicada \ Sistemas de Computação,51801370971-8,"1,04801E+11",0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,20.0
776,Mestrado/Doutorado,"Computacão Evolucionária, Aprendizagem e Otimizacão",51801392440-0,"1,00702E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
777,Mestrado/Doutorado,Informática na Educação,51801371326-0,"1,02501E+11",2.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,24.0
778,Mestrado/Doutorado,Computação Visual e Inteligência Artificial,51801386070-6,"1,01101E+11",3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,37.0
779,Mestrado/Doutorado,Inteligência Computacional,51801396995-3,"1,02801E+11",1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0
780,Mestrado/Doutorado,Teoria da Computação,51801392132-0,"1,01901E+11",1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,22.0
781,Mestrado/Doutorado,Métodos Computacionais de Otimização (interdepartamental),51801394712-0,"1,05102E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
782,Mestrado/Doutorado,Redes e Sistemas Distribuidos,51801397360-1,"1,01401E+11",0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,19.0
783,Mestrado/Doutorado,Inteligência artificial,51801354486-4,"1,04601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
784,Mestrado/Doutorado,Infraestrutura de TI,51801354111-5,"1,01601E+11",1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,16.0
785,Mestrado/Doutorado,Gerenciamento de Dados e Informações,51801376465-1,"1,05601E+11",0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,29.0
786,Mestrado/Doutorado,COMPUTAÇÃO DISTRIBUÍDA,51801364023-1,"1,01001E+11",2.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,31.0
787,Mestrado/Doutorado,"Engenharia de software, Gerenciamento de Informações e Interfaces Homem-Computador",51801355651-0,"1,05102E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
788,Mestrado/Doutorado,Inteligência Computacional,51801389809-6,"1,01701E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
789,Mestrado/Doutorado,Banco de Dados,51801371727-9,"1,02001E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
790,Mestrado/Doutorado,DESENVOLVIMENTO DE JOGOS DIGITAIS,51801394144-1,"1,01001E+11",1.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0
791,Mestrado/Doutorado,Engenharia de Software e Ambientes Inteligentes,51801385862-0,"1,03901E+11",1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,19.0
792,Mestrado/Doutorado,Redes de Computadores e Sistemas Distribuidos,51801394871-7,"1,02301E+11",1.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,33.0
793,Mestrado/Doutorado,Sistemas Computacionais Complexos,51801383965-4,"1,05102E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
794,Mestrado/Doutorado,Computação Aplicada a Biociências,51801354559-7,"1,00702E+11",0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,21.0
795,Mestrado/Doutorado,Metodologia e Técnicas da Computação \ Banco de Dados \ Engenharia de Dados e Conhecimento,51801354449-1,"1,02501E+11",0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,16.0
796,Mestrado/Doutorado,Outras \ Inteligência Artificial,51801394252-7,"1,04401E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
797,Mestrado/Doutorado,"Engenharia de software, Gerenciamento de Informações e Interfaces Homem-Computador",51801397270-2,"1,01101E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
798,Mestrado/Doutorado,Segurança em Sistemas Computacionais,51801354490-2,"1,01701E+11",0.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,21.0
799,Mestrado/Doutorado,Redes de Computadores,51801394476-8,"1,01801E+11",1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,26.0
800,Mestrado/Doutorado,Inteligência Computacional,51801354268-3,"1,01601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
801,Mestrado/Doutorado,Sistemas Computacionais Complexos,51801394280-1,"1,05102E+11",2.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,26.0
802,Mestrado/Doutorado,Engenharia de Software e Sistemas de Informação / Sistemas Web e Multimídia Interativos,51801354131-1,"1,00901E+11",0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,31.0
803,Mestrado/Doutorado,Projeto de Sistemas Eletrônicos e Computacionais,51801393171-0,"1,01801E+11",3.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,33.0
804,Mestrado/Doutorado,Inteligência Computacional,51801397149-0,"1,05102E+11",3.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,37.0
805,Mestrado/Doutorado,Inteligência do Negócio,51801395840-9,"1,03901E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
806,Mestrado/Doutorado,Gestão da Informação,51801375502-3,"1,00702E+11",0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,17.0
807,Mestrado/Doutorado,Inteligência Computacional,51801354056-0,"1,05601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
808,Mestrado/Doutorado,Banco de Dados e Imagens,51801392109-6,"1,05301E+11",2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,28.0
809,Mestrado/Doutorado,Sistemas inteligentes,51801393959-1,"1,03901E+11",1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,28.0
810,Mestrado/Doutorado,"Algoritmos, Grafos e Combinatória",51801394404-0,"1,04701E+11",1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,35.0
811,Mestrado/Doutorado,Fundamentos da Computação,51801354485-4,"1,02001E+11",2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,34.0
812,Mestrado/Doutorado,Computação Gráfica e Processamento de Imagens,51801354701-0,"1,03901E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
813,Mestrado/Doutorado,Infraestrutura de TI,51801353951-0,"1,00801E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
814,Mestrado/Doutorado,Ciência Computacional,51801395581-0,"1,01901E+11",2.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,32.0
815,Mestrado/Doutorado,Mecânica dos Fluidos Computacional / Otimização / Modelos Estocásticos,51801365691-9,"1,04401E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
816,Mestrado/Doutorado,Otimização,51801382133-5,"1,01901E+11",3.0,0.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0
817,Mestrado/Doutorado,Segurança em Sistemas Computacionais,51801367873-0,"1,01801E+11",1.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,36.0
818,Mestrado/Doutorado,Gestão de Riscos,51801354017-8,"1,04801E+11",2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0
819,Mestrado/Doutorado,Fundamentos e Métodos de Computação,51801354494-2,"1,02001E+11",2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,30.0
820,Mestrado/Doutorado,Projeto de Sistemas Eletrônicos e Computacionais,51801370084-0,"1,00201E+11",2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,43.0
821,Mestrado/Doutorado,Outras \ Inteligência Artificial,51801354441-1,"1,04401E+11",3.0,1.0,3.0,3.0,2.0,0.0,3.0,1.0,3.0,0.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,41.0
822,Autoavaliação,,51802395374-0,"1,00901E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
823,Mestrado/Doutorado,Ciência de Dados e Engenharia de Software,51801394797-6,"1,03901E+11",2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,35.0
824,Mestrado/Doutorado,Computação Visual,51801391257-8,"1,03901E+11",1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,25.0
825,Mestrado/Doutorado,Otimização,51801385389-0,"1,00801E+11",3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,39.0
826,Mestrado/Doutorado,Inteligência Artificial,51801388328-0,"1,03601E+11",1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,33.0
827,Mestrado/Doutorado,Sistemas de Informação,51801396924-6,"1,05102E+11",1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,26.0
828,Mestrado/Doutorado,Engenharia de Software,51801392876-4,"1,00702E+11",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,14.0
829,Mestrado/Doutorado,Inteligência Computacional,51801394424-7,"1,01501E+11",0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,13.0
830,Autoavaliação,,51802397049-7,"1,02301E+11",3.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,42.0
831,Mestrado/Doutorado,Visão Computacional,51801392067-8,"1,04701E+11",0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0
832,Mestrado/Doutorado,Redes e Sistemas Distribuídos,51801390213-9,"1,03601E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
833,Mestrado/Doutorado,Engenharia de software e Linguagens de programação,51801394732-7,"1,00801E+11",0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,25.0
834,Autoavaliação,,51802397140-4,"1,03901E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
835,Mestrado/Doutorado,Aprendizado de Maquina e Interação,51801396799-9,"1,02001E+11",1.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0
836,Mestrado/Doutorado,Inteligência Computacional,51801390909-1,"1,01801E+11",3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,33.0
837,Mestrado/Doutorado,"Sistemas Distribuídos e Programação Concorrente / Sistemas Embarcados, Evoluídos e Robóticos",51801361204-0,"1,05102E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
838,Mestrado/Doutorado,Computação de Alto Desempenho,51801387689-4,"1,05601E+11",0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,22.0
839,Mestrado/Doutorado,Sistemas Inteligentes,51801354339-6,"1,05001E+11",2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,23.0
840,Mestrado/Doutorado,Sistemas Digitais e Embarcados,51801395538-9,"1,04601E+11",3.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,31.0
841,Mestrado/Doutorado,Computação Visual e Inteligência Artificial,51801393021-1,"1,00201E+11",3.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,27.0
842,Mestrado/Doutorado,Engenharia de Software e Sistemas de Computação,51801379999-1,"1,02401E+11",1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,2.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,28.0
843,Mestrado/Doutorado,Inteligência Computacional,51801354419-7,"1,02301E+11",3.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,56.0
844,Mestrado/Doutorado,Gerenciamento de Dados e Informações,51801395263-1,"1,00801E+11",1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,34.0
845,Mestrado/Doutorado,Agentes Inteligentes e Representacão do Conhecimento,51801393310-5,"1,01001E+11",3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,50.0
846,Mestrado/Doutorado,Aplicações da Computação,51801371421-7,"1,02501E+11",1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,22.0
847,Mestrado/Doutorado,Computação Aplicada \ Sistemas de Informação,51801394937-1,"1,04101E+11",2.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,31.0
848,Mestrado/Doutorado,Redes Neurais e Computação Gráfica,51801394847-2,"1,03801E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
849,Mestrado/Doutorado,Ciência de Dados,51801387879-0,"1,05102E+11",3.0,1.0,3.0,2.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,35.0
850,Mestrado/Doutorado,Mecânica dos Fluidos Computacional / Otimização / Modelos Estocásticos,51801395476-4,"1,04301E+11",2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,35.0
851,Mestrado/Doutorado,ENGENHARIA DE SOFTWARE,51801395345-2,"1,05001E+11",1.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,24.0
852,Mestrado/Doutorado,Computação Aplicada a Biociências,51801391882-6,"1,05102E+11",2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,23.0
853,Mestrado/Doutorado,"Engenharia de software, Gerenciamento de Informações e Interfaces Homem-Computador",51801354078-7,"1,05102E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
854,Mestrado/Doutorado,Inteligência Artificial,51801397231-0,"1,01901E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
855,Mestrado/Doutorado,Mecânica dos Fluidos Computacional / Otimização / Modelos Estocásticos,51801353980-4,"1,00601E+11",1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,28.0
856,Mestrado/Doutorado,Teoria da Computação,51801396236-3,"1,01901E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
857,Mestrado/Doutorado,"Sistemas Distribuídos e Programação Concorrente / Sistemas Embarcados, Evoluídos e Robóticos",51801376543-2,"1,01101E+11",2.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,37.0
858,Mestrado/Doutorado,Arquitetura de Computadores,51801386157-7,"1,01201E+11",1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,41.0
859,Mestrado/Doutorado,Processamento Grafico,51801364207-0,"1,02401E+11",1.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,38.0
860,Mestrado/Doutorado,Ciência de Dados e Engenharia de Software,51801396688-3,"1,04601E+11",1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,24.0
861,Mestrado/Doutorado,Computação Paralela e Distribuída,51801355204-0,"1,01801E+11",2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,29.0
862,Mestrado/Doutorado,Banco de Dados e Imagens,51801384423-1,"1,05301E+11",0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
863,Mestrado/Doutorado,Ciência Computacional,51801393762-5,"1,01901E+11",0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,20.0
864,Mestrado/Doutorado,Computação Aplicada \ Inteligência Computacional,51801395382-5,"1,04301E+11",3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,33.0
865,Mestrado/Doutorado,Computação Aplicada a Biociências,51801354883-3,"1,00801E+11",3.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,36.0
866,Mestrado/Doutorado,Mecânica dos Fluidos Computacional / Otimização / Modelos Estocásticos,51801354439-3,"1,04701E+11",2.0,1.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,25.0
