,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Matemática Discreta,NOTA Cálculo Diferencial Integral,NOTA Álgebra Linear,NOTA Geometria Analítica,NOTA Análise Combinatória,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Organização de Arquivos e Dados,NOTA Técnicas de Programação,NOTA Circuitos Digitais,NOTA Análise de Algoritmos,NOTA Teoria dos Grafos,"NOTA Linguagens Formais, Autômatos e Computabilidade",NOTA Algoritmos e Estruturas de Dados,NOTA Linguagens de Programação,NOTA Sistemas Operacionais,NOTA Arquitetura e Organização de Computadores,NOTA Rede de Computadores,NOTA Computação Gráfica,NOTA Inteligência Artificial,NOTA Engenharia de Software,NOTA Sistemas Distribuídos,NOTA Compiladores,NOTA Processamento de Imagens,NOTA Banco de Dados,NOTA TOTAL TO
1099,Mestrado/Doutorado,Engenharia de Software e Usabilidade,39401672718-4,"1,01E+11",2.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,43.0
1100,Mestrado/Doutorado,Banco de Dados,39401672365-6,"1,04E+11",1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,27.0
1101,Mestrado/Doutorado,Processamento de Imagens e Visão Computacional,39401683726-4,"1,05E+11",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,36.0
1102,Mestrado/Doutorado,Modelagem e Métodos Computacionais,39401644194-2,"1,01E+11",2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,31.0
1103,Mestrado/Doutorado,Sistemas Embarcados e Sistemas Digitais,39401641523-5,"1,04E+11",0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,21.0
1104,Mestrado/Doutorado,Métodos Numéricos e Otimização,39401666484-0,"1,02E+11",1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,39.0
1105,Mestrado/Doutorado,Redes de Comunicação e Sistemas Distribuídos,39401637167-1,"1,02E+11",2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,37.0
1106,Mestrado/Doutorado,Aprendizado de Máquina,39401668696-5,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1107,Mestrado/Doutorado,Otimização,39401637999-4,"1,00E+11",0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,27.0
1108,Mestrado/Doutorado,INTELIGÊNCIA COMPUTACIONAL,39401651914-1,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Mestrado/Doutorado,Redes e Sistemas Distribuídos,39401672381-2,"1,01E+11",2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,1.0,35.0
1110,Mestrado/Doutorado,Sistemas de Informação para a Web,39401647463-9,"1,00E+11",2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,33.0
1111,Mestrado/Doutorado,Engenharia de Sistemas WEB,39401667731-7,"1,04E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Mestrado/Doutorado,Otimização e Inteligência computacional,39401650935-1,"1,03E+11",1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,28.0
1113,Mestrado/Doutorado,Metodologia e Técnicas de Computação,39401668210-0,"1,05E+11",0.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,36.0
1114,Mestrado/Doutorado,Otimização,39401638454-1,"1,05E+11",1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,24.0
1115,Mestrado/Doutorado,INTELIGÊNCIA ARTIFICIAL,39401684362-4,"1,05E+11",2.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,29.0
1116,Mestrado/Doutorado,Inteligência Artificial,39401637610-7,"1,04E+11",2.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,37.0
1117,Mestrado/Doutorado,Engenharia de Software,39401653136-2,"1,03E+11",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
1118,Mestrado/Doutorado,Sistemas Embarcados,39401660330-3,"1,01E+11",0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,19.0
1119,Mestrado/Doutorado,Algoritmos Paralelos e Distribuídos,39401639238-7,"1,02E+11",1.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,35.0
1120,Mestrado/Doutorado,Visão Computacional,39401635822-7,"1,02E+11",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,26.0
1121,Mestrado/Doutorado,Agentes de Software,39401667239-0,"1,02E+11",0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,25.0
1122,Mestrado/Doutorado,Metodologia e Técnicas de Computação,39401642495-1,"1,01E+11",0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,32.0
1123,Mestrado/Doutorado,Teoria da Computação,39401636087-4,"1,01E+11",1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,23.0
1124,Mestrado/Doutorado,Computação Aplicada,39401667075-9,"1,02E+11",0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,24.0
1125,Mestrado/Doutorado,BANCOS DE DADOS E IMAGENS,39401667430-5,"1,01E+11",0.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,34.0
1126,Mestrado/Doutorado,Sistemas Distribuídos e Programação Concorrente,39401683325-5,"1,02E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Mestrado/Doutorado,Aprendizado de Máquina,39401665097-2,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Mestrado/Doutorado,Engenharia de Software,39401641143-2,"1,02E+11",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,19.0
1129,Mestrado/Doutorado,Microeletrônica,39401683655-1,"1,01E+11",1.0,3.0,3.0,0.0,2.0,2.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,45.0
1130,Mestrado/Doutorado,Redes e Sistemas Distribuídos,39401640573-0,"1,01E+11",0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,22.0
1131,Mestrado/Doutorado,Inteligência Computacional,39401683259-2,"1,02E+11",0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0
1132,Mestrado/Doutorado,Computação Forense,39401640343-0,"1,01E+11",0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,23.0
1133,Mestrado/Doutorado,BANCOS DE DADOS E IMAGENS,39401654123-0,"1,02E+11",0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,23.0
1134,Mestrado/Doutorado,Sistemas de Software,39401673335-8,"1,01E+11",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,28.0
1135,Mestrado/Doutorado,Teoria da Computação,39401653849-1,"1,03E+11",1.0,3.0,3.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0
1136,Mestrado/Doutorado,Computação Forense,39401683912-0,"1,00E+11",3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,25.0
1137,Mestrado/Doutorado,Sistemas Distribuídos e Programação Concorrente,39401671968-3,"1,05E+11",0.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,35.0
1138,Mestrado/Doutorado,Otimização,39401666762-5,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Mestrado/Doutorado,Linguagem de Programação e Métodos Formais,39401672390-0,"1,01E+11",0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,25.0
1140,Mestrado/Doutorado,SISTEMAS DE COMPUTAÇÃO,39401684290-1,"1,02E+11",1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,30.0
1141,Mestrado/Doutorado,Ciência de Dados,39401685015-8,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1142,Mestrado/Doutorado,Informática na Educação,39401683165-3,"1,01E+11",1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,18.0
1143,Mestrado/Doutorado,Engenharia de software,39401683989-8,"1,01E+11",0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0
1144,Mestrado/Doutorado,REDES DE COMPUTADORES  ,39401673457-1,"1,01E+11",1.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,32.0
1145,Mestrado/Doutorado,Sistemas e Tecnologias da Computação,39401672047-8,"1,01E+11",0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,27.0
1146,Autoavaliação,,39402662738-9,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1147,Mestrado/Doutorado,Sistemas de Informação,39401658300-4,"1,03E+11",0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,20.0
1148,Mestrado/Doutorado,Computação Visual e Inteligente,39401685082-5,"1,03E+11",1.0,2.0,3.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,37.0
1149,Mestrado/Doutorado,Redes e Sistemas Distribuídos,39401641463-0,"1,02E+11",0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,22.0
1150,Mestrado/Doutorado,Visualização da informação,39401660767-7,"1,00E+11",2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,37.0
1151,Mestrado/Doutorado,Qualidade de Software,39401665287-9,"1,01E+11",1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,28.0
1152,Mestrado/Doutorado,Banco de Dados,39401637586-7,"1,05E+11",0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,25.0
1153,Mestrado/Doutorado,Sistemas de Software,39401668728-5,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Mestrado/Doutorado,METODOLOGIA E TÉCNICAS DA COMPUTAÇÃO,39401665536-0,"1,01E+11",1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,35.0
1155,Mestrado/Doutorado,Redes de Computadores,39401657977-9,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Mestrado/Doutorado,Qualidade de Software,39401673057-2,"1,02E+11",1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,31.0
1157,Mestrado/Doutorado,Inteligência Artificial,39401684098-7,"1,02E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Mestrado/Doutorado,Inteligência Artificial,39401641875-8,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Mestrado/Doutorado,Inteligência Artificial,39401669705-5,"1,02E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Mestrado/Doutorado,Teoria da Computação,39401651068-7,"1,02E+11",2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,32.0
1161,Mestrado/Doutorado,Análise de Algoritmos,39401684962-8,"1,01E+11",1.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,45.0
1162,Mestrado/Doutorado,Verificação Automática,39401671131-0,"1,02E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Mestrado/Doutorado,Modelagem Conceitual e Bancos de Dados,39401649251-9,"1,04E+11",0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,30.0
1164,Mestrado/Doutorado,BANCOS DE DADOS E IMAGENS,39401673174-6,"1,05E+11",1.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,28.0
1165,Mestrado/Doutorado,Reconhecimento de Padrões,39401635179-7,"1,00E+11",1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,31.0
1166,Mestrado/Doutorado,Modelagem e Métodos Computacionais,39401672261-9,"1,03E+11",1.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,26.0
1167,Mestrado/Doutorado,TEORIA DA COMPUTAÇÃO,39401665366-0,"1,01E+11",1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,19.0
1168,Mestrado/Doutorado,METODOLOGIA E TÉCNICAS DA COMPUTAÇÃO,39401667711-0,"1,02E+11",0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,22.0
1169,Mestrado/Doutorado,INTELIGÊNCIA ARTIFICIAL,39401643921-7,"1,05E+11",0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,30.0
1170,Mestrado/Doutorado,Engenharia de Software e Usabilidade,39401663628-6,"1,04E+11",1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,39.0
1171,Mestrado/Doutorado,Sistemas de Informação,39401641474-9,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Mestrado/Doutorado,Teoria da Computação,39401640079-3,"1,01E+11",0.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,32.0
1173,Mestrado/Doutorado,Teoria da Computação,39401641348-7,"1,05E+11",1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,28.0
1174,Mestrado/Doutorado,Sistemas Computacionais,39401664472-9,"1,05E+11",1.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,30.0
1175,Mestrado/Doutorado,Engenharia de Software,39401635683-1,"1,01E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Mestrado/Doutorado,Inteligência Artificial,39401672885-9,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Mestrado/Doutorado,Reconhecimento de Padrões,39401668971-0,"1,05E+11",1.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,46.0
1178,Mestrado/Doutorado,Inteligência Computacional,39401668585-0,"1,02E+11",1.0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,42.0
1179,Mestrado/Doutorado,"Computação Gráfica, Processamento de Imagens e Interação",39401659907-4,"1,03E+11",1.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,36.0
1180,Mestrado/Doutorado,Sistemas de Otimização,39401676460-9,"1,05E+11",2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,27.0
1181,Mestrado/Doutorado,Sistemas Computacionais,39401684911-7,"1,05E+11",1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,33.0
1182,Mestrado/Doutorado,Sistemas de Computação,39401654788-3,"1,04E+11",2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,35.0
1183,Mestrado/Doutorado,Sistemas Computacionais,39401640731-1,"1,03E+11",1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,24.0
1184,Mestrado/Doutorado,Bioinformática Estrutural,39401670203-7,"1,00E+11",1.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,29.0
1185,Mestrado/Doutorado,METODOLOGIA E TÉCNICAS DA COMPUTAÇÃO,39401671476-5,"1,01E+11",2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,24.0
1186,Mestrado/Doutorado,"Visão Computacional, Reconhecimento de Padrões e Computação Forense",39401682656-5,"1,02E+11",0.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,27.0
1187,Mestrado/Doutorado,Sistemas de Computação,39401649231-2,"1,05E+11",1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,28.0
1188,Mestrado/Doutorado,Ciência da Computação,39401640624-6,"1,01E+11",1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,27.0
1189,Mestrado/Doutorado,METODOLOGIA E TÉCNICAS DA COMPUTAÇÃO,39401678397-9,"1,01E+11",0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,29.0
1190,Mestrado/Doutorado,Robótica,39401667440-3,"1,04E+11",1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,43.0
1191,Mestrado/Doutorado,Reconhecimento de Padrões,39401635637-0,"1,04E+11",0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,22.0
1192,Mestrado/Doutorado,Sistemas de Informação para a Web,39401671507-5,"1,02E+11",2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,24.0
1193,Mestrado/Doutorado,Inteligência Computacional,39401647732-6,"1,03E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Mestrado/Doutorado,Mecânica dos Fluidos Computacional,39401639988-9,"1,00E+11",0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,21.0
1195,Mestrado/Doutorado,Segurança de Dados e Criptografia,39401684145-3,"1,05E+11",2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,38.0
1196,Mestrado/Doutorado,Gestão da Tecnologia da Informação,39401683873-2,"1,02E+11",1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,26.0
1197,Mestrado/Doutorado,Sistemas Embarcados,39401660652-1,"1,03E+11",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,33.0
1198,Mestrado/Doutorado,COMPUTAÇÃO APLICADA,39401684703-4,"1,05E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Mestrado/Doutorado,Desenvolvimento de Jogos Digitais,39401671856-8,"1,05E+11",1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,20.0
1200,Mestrado/Doutorado,Sistemas de Informação,39401640353-9,"1,02E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
