INSCRICAO,SEXO,CIDADE,ESTADO,CARGO,CÓDIGO,LOCAL DE PROVA,ANO
42101829327-4,M,Vila Velha,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
42101834367-0,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101835444-8,M,Guarapari,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
42101835831-9,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
42101835310-6,M,São Caetano do Sul,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101809627-5,M,Ananindeua,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101809474-1,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101809906-0,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2017
42101811421-5,M,Floriano,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101831684-0,M,Ilha Solteira,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101829001-6,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
42102830059-9,M,Formiga,MG,2-Autoavaliação,2,Lavras - MG,2017
42101831439-4,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101831467-9,M,Sorocaba,SP,1-Mestrado/Doutorado,1,Campinas - SP,2017
42101809292-3,M,Palmas,TO,1-Mestrado/Doutorado,1,Palmas - TO,2017
42101835200-0,M,Nilópolis,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
42101812333-2,M,Lima,OU,1-Mestrado/Doutorado,1,Lima - PERU,2017
42101811576-3,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101833969-8,F,Cascavel,PR,1-Mestrado/Doutorado,1,Pelotas - RS,2017
42101834300-1,F,Petrópolis,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
42101835841-7,M,Brasília,DF,1-Mestrado/Doutorado,1,Brasilia - DF,2017
42101834934-0,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
42101832603-0,M,São João Del Rei,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
42101818201-9,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101812541-5,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101826098-0,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2017
42101825755-2,M,Marília,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101830433-8,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101828220-0,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
42101828052-0,M,Alto Araguaia,MT,1-Mestrado/Doutorado,1,Jataí - GO,2017
42101834728-7,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101827929-5,M,Pelotas,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2017
42101812715-5,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
42101815839-8,M,Patos de Minas,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
42102810315-7,M,Balsas,MA,2-Autoavaliação,2,Imperatriz - MA,2017
42101824165-0,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101819606-4,M,Carmo do Rio Claro,MG,1-Mestrado/Doutorado,1,Lavras - MG,2017
42101832412-4,M,Jacareí,SP,1-Mestrado/Doutorado,1,São José dos Campus - SP,2017
42101833347-8,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101826286-7,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
42101821832-8,M,Joinville,SC,1-Mestrado/Doutorado,1,Joinville - SC,2017
42101821653-0,M,Guaíba,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42102834258-9,M,São Paulo,SP,2-Autoavaliação,2,São Paulo - SP,2017
42101810030-8,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
42101810286-3,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101835237-5,M,Picos,PI,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
42102834655-8,M,São Paulo,SP,2-Autoavaliação,2,São Paulo - SP,2017
42101829524-9,M,Congonhal,MG,1-Mestrado/Doutorado,1,Campinas - SP,2017
42101833997-2,F,Arequipa,PE,1-Mestrado/Doutorado,1,Arequipa - PERU,2017
42101832587-9,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
42101822532-2,M,AREQUIPA,OU,1-Mestrado/Doutorado,1,Arequipa - PERU,2017
42101833563-9,M,Cusco,OU,1-Mestrado/Doutorado,1,Arequipa - PERU,2017
42101834633-8,M,João Monlevade,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
42101819318-0,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
42101817668-0,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
42101811556-7,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101835659-0,M,Santana do Livramento,RS,1-Mestrado/Doutorado,1,Bagé - RS,2017
42101812464-4,F,Andradas,MG,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2017
42101810515-8,F,Algodão de Jandaíra,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101823453-8,F,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101823480-2,F,Anápolis,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
42101829317-6,F,Maringá,PR,1-Mestrado/Doutorado,1,Maringá - PR,2017
42101833538-4,F,Terra Rica,PR,1-Mestrado/Doutorado,1,Maringá - PR,2017
42101835845-7,F,Três Lagoas,MS,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101812179-0,F,Pirapozinho,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2017
42101822338-8,F,Sabará,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
42101810443-5,F,Nova Resende,MG,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2017
42101832210-0,F,Blumenau,SC,1-Mestrado/Doutorado,1,Pelotas - RS,2017
42101818701-5,F,Pinhais,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
42101834871-5,F,Coxim,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2017
42101809458-5,F,Curitiba,PR,1-Mestrado/Doutorado,1,Londrina - PR,2017
42101812220-7,M,Carazinho,RS,1-Mestrado/Doutorado,1,Chapecó - SC,2017
42101835470-2,M,Alegrete,RS,1-Mestrado/Doutorado,1,Alegrete - RS,2017
42101809777-3,M,Montes Claros,MG,1-Mestrado/Doutorado,1,Brasilia - DF,2017
42101833968-8,M,Fazenda Rio Grande,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
42101832115-2,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
42101816429-7,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
42101809914-9,M,Tupã,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2017
42102835405-9,M,Lagoa da Prata,MG,2-Autoavaliação,2,Lavras - MG,2017
42101811263-3,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
42101810242-0,M,São Cristóvão,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2017
42101832954-3,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
42101809689-4,M,Ananindeua,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101835436-0,M,Cuiabá,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2017
42101812551-3,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
42101811142-0,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
42101812230-5,M,São Leopoldo,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101833720-0,M,Ermo,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
42101834573-3,M,Cuiabá,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2017
42101828217-2,M,Picos,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101809550-2,M,Coroatá,MA,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101833450-3,M,Brasília,DF,1-Mestrado/Doutorado,1,Brasilia - DF,2017
42101833987-4,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101833796-8,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101828946-8,M,Bandeirantes,PR,1-Mestrado/Doutorado,1,Londrina - PR,2017
42101811120-3,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101834303-1,M,Manaus,AM,1-Mestrado/Doutorado,1,Manaus - AM,2017
42101834065-9,M,Santa Rita,PB,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101834903-5,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2017
42101820676-0,M,Jundiá,AL,1-Mestrado/Doutorado,1,Maceió - AL,2017
42101811984-0,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2017
42101811193-0,M,Juiz de Fora,MG,1-Mestrado/Doutorado,1,Juiz de Fora - MG,2017
42101833420-9,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
42101810750-5,M,Monte Horebe,PB,1-Mestrado/Doutorado,1,João Pessoa - PB,2017
42101825166-7,M,Palestina,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101818469-2,M,Angicos,RN,1-Mestrado/Doutorado,1,Mossoró - RN,2017
42101809951-1,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
42101810450-3,M,Quixadá,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2017
42101826170-1,M,PORTO ALEGRE,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2017
42101833502-0,F,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101809483-0,F,Curitiba,PR,1-Mestrado/Doutorado,1,Cuiabá - MT,2017
42101833490-6,F,Eusébio,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
42101822728-9,F,Maringá,PR,1-Mestrado/Doutorado,1,Maringá - PR,2017
42101823966-2,F,Macaé,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
42101828678-0,F,Nova Era,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
42101833617-5,F,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
42101834767-0,F,Pelotas,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2017
42101827280-3,F,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101829536-7,F,Londrina,PR,1-Mestrado/Doutorado,1,Londrina - PR,2017
42101824081-0,F,Videira,SC,1-Mestrado/Doutorado,1,Chapecó - SC,2017
42101820904-4,F,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101829484-0,M,Campinas,SP,1-Mestrado/Doutorado,1,Campinas - SP,2017
42101830765-4,M,Aparecida de Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
42101835041-9,F,Lins,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101835691-3,F,Ouro Preto,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
42101834639-8,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101819166-7,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101831107-8,F,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101828984-0,F,Poços de Caldas,MG,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2017
42101829956-2,F,Condado,PE,1-Mestrado/Doutorado,1,João Pessoa - PB,2017
42101811226-0,F,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101827281-3,F,Natal,RN,1-Mestrado/Doutorado,1,Natal - RN,2017
42101812010-4,F,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101827639-1,F,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101835318-6,F,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101812461-4,F,Betim,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
42101809930-5,F,Presidente Prudente,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2017
42101827130-5,F,São José dos Campos,SP,1-Mestrado/Doutorado,1,São José dos Campus - SP,2017
42101835784-2,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101833755-5,F,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101828036-4,F,Quixadá,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2017
42101833735-9,F,Presidente Prudente,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2017
42101822134-3,F,Porto Alegre,RS,1-Mestrado/Doutorado,1,Santa Maria - RS,2017
42101829505-2,F,Cascavel,PR,1-Mestrado/Doutorado,1,Cascavel - PR,2017
42101821440-7,F,Contagem,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
42101835786-2,F,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101825912-4,F,São José dos Cordeiros,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101811477-6,F,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
42101833251-9,F,Formiga,MG,1-Mestrado/Doutorado,1,Lavras - MG,2017
42101811819-6,F,São Gonçalo,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
42101810748-7,F,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
42101824243-1,F,Fernandópolis,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101824334-0,F,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
42101809445-7,F,Ubá,MG,1-Mestrado/Doutorado,1,Juiz de Fora - MG,2017
42101809473-1,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101812316-6,M,Dourados,MS,1-Mestrado/Doutorado,1,Ponta Porã - MS,2017
42101833706-4,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101809682-4,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
42101809421-0,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
42101822335-8,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42102834623-3,M,Londrina,PR,2-Autoavaliação,2,Londrina - PR,2017
42101827018-1,M,Santo André,SP,1-Mestrado/Doutorado,1,Santo André - SP,2017
42101811373-9,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101810326-1,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101820869-6,M,São Bento do Sul,SC,1-Mestrado/Doutorado,1,Curitiba - PR,2017
42101809468-3,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101835019-4,M,Mirassol,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101825196-1,M,São Caetano do Sul,SP,1-Mestrado/Doutorado,1,Santo André - SP,2017
42101834232-9,M,Joinville,SC,1-Mestrado/Doutorado,1,Joinville - SC,2017
42101823735-3,M,Picuí,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101833730-9,M,Criciúma,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
42101822860-9,M,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101809369-6,M,Coxim,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2017
42101810303-5,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101834887-3,M,Chapecó,SC,1-Mestrado/Doutorado,1,Chapecó - SC,2017
42101812638-4,M,São José de Ribamar,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2017
42101810172-8,M,Oeiras,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101813627-2,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101835315-6,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101827773-1,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101809388-2,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101835068-5,M,Joinville,SC,1-Mestrado/Doutorado,1,Joinville - SC,2017
42101829294-4,M,Arapiraca,AL,1-Mestrado/Doutorado,1,Maceió - AL,2017
42101812127-0,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42102830060-7,M,Rio de Janeiro,RJ,2-Autoavaliação,2,Rio de Janeiro - RJ,2017
42101834460-8,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
42101824402-3,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101811848-0,M,São José,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
42101821083-0,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101835647-2,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101833416-0,M,Santa Maria,RS,1-Mestrado/Doutorado,1,Santa Maria - RS,2017
42101811194-0,M,Nova Andradina,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2017
42101832989-8,M,Pelotas,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2017
42101818739-0,M,Castanhal,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101834652-4,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101810234-2,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
42101812531-7,M,Iporá,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
42101811954-6,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2017
42101809389-2,M,Campo Belo,MG,1-Mestrado/Doutorado,1,Lavras - MG,2017
42101809364-6,M,Jaci,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101809834-8,M,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101822029-8,M,Vitória,ES,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101835632-4,M,Pelotas,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2017
42101813767-2,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
42101834365-0,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2017
42101834933-0,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
42102827835-0,M,Rio de Janeiro,RJ,2-Autoavaliação,2,Rio de Janeiro - RJ,2017
42101834478-6,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42102831830-7,M,Viçosa,MG,2-Autoavaliação,2,Vitória - ES,2017
42101833779-1,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
42101830996-3,M,João Pessoa,PB,1-Mestrado/Doutorado,1,João Pessoa - PB,2017
42101809596-5,M,Itápolis,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101810097-7,M,Pinhais,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
42101834888-3,M,Sertânia,PE,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101810250-9,M,Bauru,SP,1-Mestrado/Doutorado,1,Bauru - SP,2017
42101832435-0,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
42101811810-6,M,Ribeirão Preto,SP,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2017
42101833112-9,M,Três Corações,MG,1-Mestrado/Doutorado,1,Lavras - MG,2017
42101831489-5,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2017
42101823863-5,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101812449-8,M,Dourados,MS,1-Mestrado/Doutorado,1,Ponta Porã - MS,2017
42102834156-1,M,Crateús,CE,2-Autoavaliação,2,Fortaleza - CE,2017
42101832482-1,M,Pontalinda,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101821694-2,M,Divinolândia,SP,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2017
42101834927-1,M,Ouro Preto,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
42101809749-9,M,Aparecida de Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
42101833917-7,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101809932-5,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101809494-8,M,São Paulo,SP,1-Mestrado/Doutorado,1,Vitória - ES,2017
42101809391-0,M,Jerônimo Monteiro,ES,1-Mestrado/Doutorado,1,Alegre - ES,2017
42101827556-0,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101810176-8,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
42101834344-4,M,Guaraçaí,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2017
42102822581-7,M,Rio de Janeiro,RJ,2-Autoavaliação,2,Rio de Janeiro - RJ,2017
42101833506-0,F,Manaus,AM,1-Mestrado/Doutorado,1,Manaus - AM,2017
42101834759-1,M,Pato Branco,PR,1-Mestrado/Doutorado,1,Cascavel - PR,2017
42101812255-1,F,Santo André,SP,1-Mestrado/Doutorado,1,Santo André - SP,2017
42101820485-3,M,Bagé,RS,1-Mestrado/Doutorado,1,Bagé - RS,2017
42101812112-1,F,Araraquara,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101828272-1,F,Campinas,SP,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2017
42101833734-9,F,Rio Grande,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2017
42101810664-6,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101810494-6,F,Santo Antônio da Patrulha,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101830813-0,F,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
42101810275-5,F,Belo Horizonte,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
42101812649-2,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
42101832593-7,M,Patos,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101812419-3,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101833309-5,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101835819-2,M,Jataí,GO,1-Mestrado/Doutorado,1,Jataí - GO,2017
42101834761-0,M,Blumenau,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
42101834722-7,M,Campo Grande,MS,1-Mestrado/Doutorado,1,Campo Grande - MS,2017
42101809306-7,F,Nova Iguaçu,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
42101810645-0,F,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
42101818986-5,M,Alegrete,RS,1-Mestrado/Doutorado,1,Alegrete - RS,2017
42101809790-0,F,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101810237-2,F,Manaus,AM,1-Mestrado/Doutorado,1,Manaus - AM,2017
42101827628-3,F,Romaria,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
42101817867-5,F,Coronel Freitas,SC,1-Mestrado/Doutorado,1,Chapecó - SC,2017
42101810248-0,F,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101810293-1,F,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
42101832806-5,F,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101829863-3,F,São Bernardo do Campo,SP,1-Mestrado/Doutorado,1,Santo André - SP,2017
42101811023-6,M,Santo Antônio da Patrulha,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
42101811001-0,M,Niterói,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
42101823424-3,M,São Francisco de Assis,RS,1-Mestrado/Doutorado,1,Alegrete - RS,2017
42101829011-4,M,Ribeirão Preto,SP,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2017
42101832118-2,F,Seropédica,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
42102824408-7,F,Alegrete,RS,2-Autoavaliação,2,Alegrete - RS,2017
42101811385-7,M,Capão Bonito,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101835479-2,M,arequipa,OU,1-Mestrado/Doutorado,1,Arequipa - PERU,2017
42101824674-5,M,Cascavel,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
42101811915-3,F,Junqueiro,AL,1-Mestrado/Doutorado,1,Maceió - AL,2017
42101831135-2,M,Ananindeua,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101809816-1,M,Oeiras,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101810194-4,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
42101828158-8,M,Piripiri,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101835065-5,M,Lins,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
42101810146-3,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
42101824133-6,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101833923-5,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
42101833188-6,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
42101809760-5,M,Morro Agudo,SP,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2017
42101809949-3,M,Assis,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
42101831640-7,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2017
42101831933-0,M,Capitão Poço,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101813470-9,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2017
42102833298-5,M,Patos,PB,2-Autoavaliação,2,Campina Grande - PB,2017
42101821411-2,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
42101809399-0,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
42101835740-0,M,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
42101812388-3,M,Aracaju,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2017
42101810150-1,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
42101834826-4,M,Tapiratiba,SP,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2017
42101832811-3,M,Pedro II,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
