,NÚMERO DE INSCRIÇÃO,NUM,SITUAÇÃO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1188,39401649231,"1,04902E+11",Presente,E,A,D,B,C,B,E,C,E,E,C,E,B,E,B,C,E,C,B,C,A,B,E,E,A,E,C,C,A,C,A,A,B,A,D,D,A,A,D,B,B,B,A,C,A,C,C,E,B,B,E,E,A,A,D,A,B,C,E,B,E,D,A,A,A,E,A,E,B,D
1189,39401640624,"1,009E+11",Presente,E,B,C,E,D,D,D,D,E,C,B,E,C,B,C,E,E,A,D,E,B,A,E,E,A,B,E,C,D,A,B,E,B,D,E,A,B,A,B,E,C,C,D,D,B,A,D,D,E,E,D,A,D,D,D,C,C,E,E,E,E,A,D,B,D,B,E,B,D,
1190,39401678397,"1,009E+11",Presente,E,B,D,C,E,A,C,B,D,C,D,E,D,B,B,A,E,C,D,A,E,B,E,E,A,B,C,C,D,E,B,A,B,E,D,C,D,D,E,A,B,A,D,B,D,C,E,C,A,D,C,A,B,A,D,B,E,A,E,A,C,B,C,C,E,C,A,C,B,E
1191,39401667440,"1,04101E+11",Presente,B,A,D,C,A,A,C,A,C,B,C,E,D,B,D,D,D,E,B,B,A,B,C,B,A,D,E,C,B,D,B,A,B,D,A,A,A,C,D,E,B,C,B,D,B,B,C,E,D,B,E,A,A,E,C,C,A,E,C,A,D,A,E,A,E,C,E,C,B,D
1192,39401635637,"1,044E+11",Presente,E,B,E,C,B,D,B,E,B,C,D,E,C,C,C,B,B,A,B,E,B,A,C,C,A,D,A,C,A,B,B,B,B,D,D,D,C,B,A,C,A,E,A,B,E,E,A,E,D,B,A,A,A,A,E,C,E,D,A,D,D,A,C,A,A,D,A,E,D,B
1193,39401671507,"1,02001E+11",Presente,B,B,B,B,B,B,B,B,E,C,E,E,C,B,A,D,B,A,B,B,B,A,E,E,A,D,D,C,D,C,B,E,E,C,D,D,C,E,A,B,D,C,C,C,B,C,C,A,B,B,D,B,B,A,D,A,D,A,E,A,A,A,B,A,E,B,C,B,C,C
1195,39401639988,"1,004E+11",Presente,D,B,B,C,A,B,B,C,C,D,C,E,D,B,B,B,E,A,A,C,A,C,A,A,B,D,C,A,B,C,B,C,D,C,E,C,C,B,C,C,D,E,B,D,E,C,C,B,B,B,C,A,A,B,C,A,C,B,C,C,C,A,D,A,A,D,E,D,C,D
1196,39401684145,"1,04902E+11",Presente,E,A,E,E,B,C,D,E,E,C,A,E,D,C,E,D,D,E,B,D,A,B,B,E,A,D,C,E,A,A,B,A,B,E,D,D,A,A,D,E,D,A,A,C,B,A,E,C,B,D,E,D,A,C,D,A,A,E,E,E,C,A,D,A,D,A,C,D,B,A
1197,39401683873,"1,01501E+11",Presente,E,C,C,D,D,E,A,B,E,B,C,B,D,A,D,E,E,C,D,A,E,C,B,E,B,A,A,C,D,E,B,B,B,A,D,C,A,B,E,C,A,E,B,C,B,E,D,B,A,D,E,A,D,A,D,A,C,E,E,B,D,A,C,C,E,A,B,E,D,C
1198,39401660652,"1,027E+11",Presente,C,A,C,C,C,D,A,B,E,C,B,E,D,B,C,A,B,E,B,C,B,A,E,E,A,D,A,C,D,E,B,A,B,E,D,A,B,A,E,C,B,E,C,C,D,B,B,E,B,B,B,C,D,A,E,A,B,C,E,A,A,E,C,A,E,C,A,C,E,D
1200,39401671856,"1,05001E+11",Presente,E,C,A,C,E,D,C,C,D,C,E,E,E,D,B,B,E,A,B,E,A,C,B,B,A,C,E,A,E,C,A,D,E,A,D,E,D,A,D,B,A,E,B,C,D,C,B,E,C,B,E,A,A,C,C,A,D,D,E,B,D,D,A,B,C,B,E,D,B,D
1202,39401683599,"1,03701E+11",Presente,E,C,B,E,A,B,C,E,E,C,D,E,D,C,C,D,D,E,B,A,E,A,B,E,D,D,B,C,C,A,B,A,B,C,C,B,A,A,B,E,D,C,A,D,D,A,C,C,B,D,D,D,A,A,D,C,D,D,E,B,E,A,C,A,E,C,C,D,B,D
1204,39401675195,"1,003E+11",Presente,E,A,B,D,D,C,B,C,C,A,D,E,E,E,B,B,D,A,C,B,E,B,A,*,B,E,B,C,C,B,B,A,B,D,E,D,A,B,E,D,B,C,D,B,B,C,A,D,A,C,E,D,A,C,D,C,D,D,B,A,A,B,A,A,E,B,A,D,C,D
1205,39401662256,"1,045E+11",Presente,E,A,D,D,A,A,C,C,A,D,B,E,D,E,B,D,B,E,B,B,B,B,B,B,A,B,C,C,D,A,B,C,B,C,E,A,A,B,E,A,C,C,D,C,E,D,A,B,E,A,B,C,A,A,B,C,A,D,E,B,D,A,A,E,B,C,D,C,B,E
1206,39401668873,"1,04101E+11",Presente,B,A,C,D,A,A,C,C,C,C,A,E,D,B,D,D,E,E,B,B,E,C,E,E,A,D,D,C,B,C,B,D,B,C,D,B,A,B,D,D,D,B,A,E,C,C,D,C,B,D,A,A,A,A,D,A,D,D,E,A,D,A,C,A,E,C,A,D,A,A
1207,39401670802,"1,00501E+11",Presente,E,A,B,D,A,C,D,D,E,C,C,E,D,D,B,B,B,C,E,D,A,D,D,B,A,D,C,A,C,C,A,C,B,C,D,D,B,A,D,E,D,B,E,B,B,D,A,D,E,C,B,E,C,D,B,C,D,D,C,A,A,A,D,A,E,D,A,E,B,C
1208,39401668244,"1,022E+11",Presente,E,E,E,B,C,A,E,D,E,D,A,E,D,C,A,E,B,E,B,C,E,B,A,E,A,E,B,C,C,C,B,B,C,A,D,A,A,A,D,B,D,B,D,E,B,A,D,C,B,A,A,A,C,A,D,A,D,D,E,A,E,E,C,A,E,C,A,B,B,A
1209,39401677265,"1,011E+11",Presente,E,E,C,C,C,A,B,C,E,A,E,A,D,D,C,C,B,A,E,B,A,B,E,E,B,A,E,C,D,C,B,A,E,D,D,A,A,E,B,A,B,B,E,C,A,C,D,E,B,B,B,B,E,A,C,B,B,D,A,C,C,E,A,C,B,A,B,E,B,D
1210,39401663029,"1,024E+11",Presente,D,A,C,D,A,B,B,C,A,A,B,E,C,A,B,E,A,C,D,B,B,B,C,B,A,A,E,C,B,D,B,A,E,D,E,B,A,A,D,C,A,C,A,A,D,C,D,B,D,A,D,B,A,D,B,A,B,A,C,D,D,E,B,A,A,E,A,C,A,B
1212,39401672914,"1,01501E+11",Presente,E,A,E,E,B,B,C,E,C,C,B,E,D,B,A,D,E,E,B,B,A,A,E,E,A,D,A,C,D,C,B,A,B,B,A,A,A,C,D,E,E,C,B,E,A,A,A,B,D,D,C,B,D,A,E,E,A,D,C,E,C,A,A,A,E,B,B,B,C,D
1214,39401671004,"1,02001E+11",Presente,C,A,E,C,A,A,C,A,D,C,E,A,D,B,E,B,E,C,B,E,E,B,B,E,B,A,A,D,D,C,C,A,E,C,B,D,B,B,D,C,B,E,E,E,C,A,E,A,D,D,B,D,E,C,B,C,D,A,E,E,B,A,B,E,E,B,C,B,B,A
1216,39402664379,"1,014E+11",Presente,C,C,B,D,B,B,C,D,E,C,D,B,C,C,B,B,B,A,B,A,E,B,E,B,A,A,D,C,E,C,B,D,C,E,A,D,D,B,D,E,E,E,A,D,B,C,C,E,B,B,C,B,C,B,D,A,D,A,E,C,E,A,A,A,E,C,A,A,A,D
1217,39401641257,"1,02001E+11",Presente,E,A,D,E,C,B,B,C,E,D,E,E,D,D,D,D,B,E,B,A,A,D,E,E,A,B,A,C,C,A,B,A,B,E,D,A,A,B,D,C,A,B,A,B,E,A,C,C,A,D,A,,D,A,B,E,D,C,C,A,D,A,C,E,E,B,C,D,E,D
1219,39401671878,"1,013E+11",Presente,E,A,C,D,A,A,C,D,C,D,A,E,C,A,B,B,B,E,B,D,E,A,D,B,A,B,A,C,D,C,B,E,C,E,A,B,A,B,D,D,A,A,B,E,B,A,A,C,B,D,A,A,A,B,D,C,A,D,C,A,D,A,A,A,E,C,A,A,C,A
1221,39401635748,"1,051E+11",Presente,E,A,C,B,E,C,B,E,E,B,E,E,D,C,A,E,D,A,B,A,A,B,E,B,A,C,B,C,D,A,B,D,D,A,D,E,D,B,D,E,B,E,D,B,C,B,E,B,B,D,D,A,A,D,E,D,E,D,C,D,C,A,A,A,A,C,A,D,B,C
1222,39401671252,"1,028E+11",Presente,A,A,B,C,A,A,C,B,C,D,E,E,B,A,B,A,A,D,B,A,E,C,B,B,A,A,B,C,B,C,D,A,C,E,C,B,C,B,D,C,A,E,C,C,A,B,C,D,C,C,B,D,A,B,B,C,E,D,E,C,C,A,D,A,E,C,B,D,A,A
1223,39401683815,"1,016E+11",Presente,B,B,B,E,D,A,C,D,E,E,A,E,C,B,A,B,B,D,D,D,E,E,C,B,A,A,D,D,B,D,A,D,B,C,B,A,A,A,E,C,B,B,C,C,B,D,A,E,D,E,C,A,A,C,D,C,D,D,C,D,E,A,C,A,E,E,A,D,B,D
1224,39401683836,"1,04E+11",Presente,E,A,B,C,C,C,C,E,B,A,B,E,D,C,C,E,B,E,B,B,A,B,B,E,A,C,A,C,D,C,B,A,B,C,A,A,C,B,E,A,E,E,B,B,B,E,A,B,A,D,E,B,A,B,B,E,A,D,A,A,C,A,C,A,E,D,A,B,B,C
1227,39401643788,"1,03701E+11",Presente,E,B,A,D,B,B,C,E,C,D,A,E,E,B,A,B,B,D,B,C,E,A,B,E,A,A,A,C,D,E,B,D,B,C,A,A,A,C,D,A,A,B,A,E,D,A,C,A,A,B,D,A,A,A,D,E,B,D,C,A,D,A,E,A,E,C,E,B,B,C
1228,39401663606,"1,02001E+11",Presente,E,A,C,D,C,D,B,B,E,B,E,E,E,C,B,A,E,D,A,C,B,D,D,B,E,B,A,C,E,C,B,D,A,C,C,B,A,B,E,B,C,A,B,D,E,C,A,D,B,B,D,B,C,C,D,C,E,D,C,D,A,A,B,A,E,C,C,C,B,D
1229,39401668479,"1,004E+11",Presente,E,D,D,C,A,B,E,C,A,C,C,E,D,B,B,E,D,D,B,D,E,E,A,E,E,D,E,B,E,C,A,B,C,D,D,B,C,E,D,A,D,E,D,D,E,D,B,D,B,B,D,E,D,A,C,C,D,D,A,C,C,D,B,A,E,C,A,E,A,C
1230,39401683783,"1,01501E+11",Presente,E,A,E,C,C,B,C,D,D,A,B,E,C,D,A,E,B,E,B,B,C,A,B,E,A,B,B,C,D,D,B,A,B,B,E,A,A,B,A,D,B,D,A,D,A,B,D,C,E,D,A,A,D,C,E,A,D,C,B,A,B,D,E,A,E,A,C,B,D,D
1231,39401669179,"1,017E+11",Presente,E,C,E,B,A,B,C,D,E,B,E,E,D,C,B,E,D,D,D,A,A,B,E,E,A,C,B,C,E,C,B,E,B,B,D,A,C,C,E,C,B,A,A,E,D,C,B,E,E,A,E,B,D,A,D,A,E,D,C,A,D,A,A,A,E,C,A,E,D,B
1232,39401658026,"1,045E+11",Presente,D,E,C,E,B,C,C,E,D,B,C,E,E,C,E,A,E,A,A,C,A,B,C,C,A,B,B,C,A,D,B,B,E,E,D,A,A,C,C,B,D,E,B,D,B,A,B,C,D,B,D,A,C,E,E,C,B,D,A,A,C,A,E,A,D,C,B,C,D,E
1235,39401684813,"1,029E+11",Presente,E,A,D,D,A,A,C,D,D,C,A,E,D,B,A,D,B,E,B,B,E,E,C,B,A,C,D,C,D,E,B,D,B,C,E,C,A,C,E,E,D,B,A,C,B,C,B,B,C,D,B,D,D,A,E,A,D,A,D,B,A,A,C,A,D,E,D,B,C,D
1237,39401667315,"1,04801E+11",Presente,C,C,C,C,C,B,B,C,C,C,C,D,C,A,A,A,B,B,B,C,B,B,E,E,A,D,C,D,D,D,B,D,D,D,B,E,E,E,A,A,E,E,E,E,D,B,C,D,D,E,D,D,D,A,B,C,D,E,E,A,D,C,C,C,E,D,C,E,C,D
1238,39401683898,"1,035E+11",Presente,B,C,E,C,D,B,C,E,C,B,E,C,B,D,B,B,E,D,B,D,A,D,B,E,A,D,E,C,C,E,B,D,C,C,E,C,B,B,A,E,C,A,E,B,E,C,D,E,C,D,A,C,B,D,A,C,B,E,D,B,E,D,A,B,D,B,C,D,E,B
1240,39401645249,"1,04601E+11",Presente,C,C,C,C,C,C,C,C,C,C,D,E,D,D,B,E,C,D,C,C,A,C,B,B,B,C,C,C,C,C,B,C,B,C,C,C,C,B,B,E,A,D,D,D,C,C,C,A,A,E,C,D,D,A,C,A,B,D,C,D,E,C,B,B,D,C,C,B,C,A
1242,39401641465,"1,035E+11",Presente,E,C,C,E,B,A,B,C,A,D,E,E,C,A,C,E,B,A,D,A,A,B,C,B,A,D,D,C,E,C,B,A,C,E,B,A,A,E,D,E,B,B,A,C,A,E,C,C,E,B,D,B,C,C,D,A,B,D,C,C,A,A,C,A,E,C,D,D,B,C
1243,39401641034,"1,034E+11",Presente,E,C,C,E,D,B,C,A,A,A,D,A,B,E,C,E,E,E,B,C,A,B,E,E,A,A,C,C,B,D,B,C,C,E,B,A,D,C,D,A,C,E,A,B,D,A,C,A,B,B,D,B,A,C,E,B,C,A,D,A,D,A,B,A,E,C,A,C,C,C
1244,39401683576,"1,009E+11",Presente,E,A,A,E,A,A,A,A,A,C,A,E,D,A,A,*,B,E,B,A,E,B,E,E,A,D,A,C,B,A,B,A,B,A,A,A,A,C,D,A,A,A,A,E,A,A,A,A,A,D,A,A,A,A,A,A,A,A,D,A,A,A,A,A,E,C,A,C,A,C
1248,39401654900,"1,028E+11",Presente,E,D,B,C,D,A,C,B,E,A,A,E,D,C,D,A,A,E,B,D,E,E,A,B,A,B,C,C,D,A,A,C,C,B,E,A,D,D,D,C,B,E,C,E,E,E,B,E,C,A,D,B,A,B,B,A,E,D,A,A,D,A,E,A,E,C,A,C,B,E
1249,39401682585,"1,035E+11",Presente,B,A,A,D,C,D,E,B,C,D,A,E,B,A,C,B,A,E,D,B,A,A,D,B,A,B,D,C,E,C,B,E,D,C,A,E,A,C,D,B,D,D,E,A,A,B,E,E,D,B,C,D,A,B,C,C,D,B,C,D,E,A,A,B,D,E,C,D,A,D
1250,39401685132,"1,024E+11",Presente,E,A,C,C,E,B,E,C,C,C,A,E,D,A,B,B,B,A,A,E,A,B,B,C,A,E,C,C,C,C,B,E,D,C,E,E,C,B,E,C,B,C,E,B,E,C,A,B,D,A,C,D,D,D,E,C,B,D,D,A,A,A,A,A,E,C,C,C,D,D
1251,39401635141,"1,04902E+11",Presente,E,A,D,C,B,A,C,E,C,C,E,E,D,C,D,B,B,E,B,B,A,B,E,E,A,D,A,C,B,C,B,A,E,B,E,A,A,A,D,C,B,C,A,B,D,C,C,E,B,C,A,D,A,A,D,C,D,E,C,A,D,B,C,A,E,C,A,C,B,A
1253,39401658071,"1,01E+11",Presente,B,A,E,D,E,A,B,B,E,A,B,E,E,A,A,E,E,E,B,B,E,C,A,E,A,D,A,C,B,C,B,D,B,E,D,B,A,E,D,E,A,B,D,C,B,D,C,E,D,B,D,B,A,A,E,C,E,D,D,A,C,B,C,A,D,C,A,E,A,D
1254,39401662074,"1,03701E+11",Presente,E,A,D,B,A,D,C,E,B,D,E,E,D,B,B,E,A,D,E,C,A,B,E,E,A,E,B,C,A,C,A,D,B,D,D,A,A,C,E,A,E,C,B,B,E,E,B,E,C,B,E,D,B,C,B,E,D,A,E,D,C,E,C,A,E,C,A,E,B,C
1255,39401640415,"1,012E+11",Presente,C,C,C,C,C,C,C,C,C,C,C,E,C,C,C,C,C,C,C,C,B,C,E,E,A,E,B,C,D,C,A,D,C,E,D,D,A,E,B,D,E,B,B,A,B,C,D,E,C,B,D,D,C,B,B,C,A,A,A,A,D,A,C,A,E,C,E,D,C,B
1257,39401670001,"1,01E+11",Presente,B,A,C,C,A,A,C,B,E,C,E,E,D,E,D,D,E,E,B,B,A,B,E,E,A,C,D,C,B,C,B,C,B,C,E,A,A,C,D,C,A,B,D,E,D,C,A,E,B,D,C,D,A,E,D,C,A,C,D,A,D,A,C,A,E,C,C,C,B,C
1258,39401637788,"1,011E+11",Presente,E,D,C,B,B,D,B,E,E,C,E,E,D,A,D,D,B,E,B,B,E,B,E,E,A,D,B,C,D,C,B,D,C,C,E,A,A,B,E,D,B,B,E,E,B,C,D,A,B,B,A,A,D,A,D,A,D,D,D,A,D,A,D,A,E,C,A,C,B,A
1259,39401636454,"1,034E+11",Presente,A,A,B,C,A,B,C,D,C,D,C,E,C,D,B,A,B,E,B,D,A,A,E,E,A,D,A,C,D,C,B,D,B,C,C,A,D,C,D,E,B,B,C,A,B,E,D,E,B,B,A,B,A,A,A,A,C,D,C,C,D,A,A,E,E,B,C,E,C,D
1260,39401645169,"1,019E+11",Presente,E,B,B,B,D,B,B,B,D,B,B,C,C,C,B,B,C,C,B,C,A,B,B,D,A,A,A,C,B,C,B,C,B,C,B,B,B,C,D,A,C,C,C,A,E,C,C,B,B,A,D,B,D,A,D,A,A,D,B,C,A,E,D,C,B,C,A,C,C,A
1262,39401665259,"1,01501E+11",Presente,A,A,B,C,D,E,E,C,A,E,C,E,E,C,B,E,B,D,D,D,A,B,E,E,A,D,A,C,B,A,B,D,D,A,A,A,A,B,D,C,A,A,A,E,E,A,A,D,D,D,B,B,A,A,D,A,C,D,E,E,A,A,A,A,E,C,A,A,B,C
1263,39401644925,"1,00501E+11",Presente,E,A,E,C,A,A,B,E,A,B,A,E,C,B,D,E,B,A,B,B,A,B,E,E,A,B,A,C,D,C,B,A,B,E,E,A,A,A,D,E,A,E,C,C,B,E,D,E,C,D,B,A,C,A,B,C,B,D,C,A,A,A,C,A,E,C,C,C,C,E
1264,39401672680,"1,04E+11",Presente,C,B,B,D,B,E,E,C,A,C,D,E,D,B,C,C,E,E,D,A,E,C,B,B,C,C,D,C,C,D,E,A,B,C,C,B,C,C,A,D,E,C,C,D,A,C,C,D,C,B,C,A,C,A,E,C,B,D,C,A,D,A,D,A,E,C,B,A,C,C
1265,39401673569,"1,01701E+11",Presente,E,C,D,D,E,B,D,E,C,C,D,E,B,E,B,D,B,E,B,C,E,E,C,B,A,D,B,C,A,C,B,D,B,E,D,A,A,B,D,E,A,A,A,E,B,A,D,C,B,D,C,A,A,B,E,C,B,D,C,A,E,A,C,A,D,C,C,C,A,D
1266,39401657453,"1,03E+11",Presente,E,A,D,B,C,A,E,E,A,D,A,E,C,A,D,D,B,E,B,C,B,C,C,A,A,D,B,C,C,B,B,E,A,C,D,A,A,A,D,C,B,B,B,C,E,C,D,A,B,B,C,B,A,B,D,A,E,D,E,A,C,D,E,C,D,B,D,C,A,A
1269,39401657634,"1,014E+11",Presente,E,A,B,C,C,A,B,D,E,C,E,E,D,D,D,B,B,E,B,B,D,D,E,E,A,D,D,C,D,C,A,A,B,D,A,A,A,B,D,C,A,C,D,E,D,C,A,E,B,D,C,E,C,B,B,C,E,D,E,B,A,A,C,A,A,C,A,C,B,C
1270,39401672383,"1,00501E+11",Presente,E,A,D,D,A,B,C,E,C,C,D,E,D,E,D,E,A,E,B,B,A,D,E,E,A,C,B,C,D,C,B,D,D,C,E,A,A,B,D,C,B,E,D,D,B,E,D,B,D,E,A,D,A,A,B,C,D,B,C,A,D,A,A,A,E,C,A,A,B,C
1271,39401654135,"1,035E+11",Presente,E,A,C,A,C,A,C,C,D,B,D,E,D,D,E,D,C,E,B,A,E,A,D,E,D,D,B,C,C,D,B,D,E,D,D,D,D,C,E,B,C,C,E,B,A,D,C,C,D,D,B,A,C,A,E,C,D,C,C,C,C,A,B,D,E,D,B,C,B,C
1272,39401649884,"1,053E+11",Presente,E,A,B,B,A,D,C,E,C,C,C,A,C,E,D,A,C,D,B,E,E,C,A,E,A,A,D,C,E,B,D,B,C,D,E,C,A,B,D,A,A,D,C,D,C,A,C,E,E,C,C,B,D,A,A,E,C,D,E,E,B,A,E,A,A,D,B,B,C,A
1273,39402669455,"1,044E+11",Presente,E,D,C,B,A,B,E,C,B,C,D,E,D,A,B,B,A,D,B,C,B,A,B,B,B,E,E,C,D,A,B,D,D,C,C,E,D,D,D,B,E,C,C,C,D,C,D,E,D,D,D,B,A,C,C,C,E,D,C,A,A,A,C,A,C,C,A,B,B,D
1274,39401666702,"1,01501E+11",Presente,B,B,C,C,B,D,A,C,E,C,A,E,D,B,A,B,E,A,A,B,A,B,E,B,C,B,D,C,E,A,B,D,C,E,E,C,B,C,E,E,E,C,B,C,E,E,C,E,E,C,D,D,A,A,C,A,A,A,C,B,E,A,E,A,B,C,A,C,A,B
1277,39401684540,"1,038E+11",Presente,E,A,E,C,A,A,B,D,E,C,E,E,C,A,B,D,B,D,B,D,B,A,B,E,A,D,B,C,B,D,B,C,C,C,D,A,A,B,E,A,A,B,D,B,C,C,A,E,A,D,E,D,A,A,D,C,A,D,B,C,D,A,A,A,A,C,A,D,D,A
1278,39401636420,"1,043E+11",Presente,E,B,C,B,D,B,A,D,C,B,D,E,A,C,B,E,E,E,D,B,E,B,E,A,E,D,A,E,C,C,A,C,E,D,E,D,B,C,D,C,A,C,A,B,E,C,B,E,B,B,B,D,B,C,E,E,E,D,D,B,C,A,B,B,E,A,B,E,B,C
1279,39401660846,"1,04101E+11",Presente,E,C,C,C,A,B,C,B,E,C,E,E,D,D,D,D,B,D,B,B,B,A,E,E,B,C,E,C,E,C,A,B,C,C,A,A,A,B,D,E,A,C,B,C,C,A,D,C,B,D,A,B,A,A,B,D,D,D,E,D,D,A,C,E,E,C,C,E,B,A
1280,39401646150,"1,00501E+11",Presente,E,A,B,C,A,D,D,D,D,A,D,E,A,E,B,B,C,E,B,C,E,C,E,E,E,B,B,D,D,C,A,A,B,D,D,C,C,B,E,E,D,E,E,E,E,E,A,A,C,D,D,A,E,A,C,C,D,D,E,A,C,E,B,B,E,C,A,A,B,C
1281,39401668631,"1,051E+11",Presente,B,C,D,E,B,B,E,B,E,A,D,E,B,B,A,C,D,E,B,C,E,A,D,C,A,B,B,C,A,D,B,A,D,E,D,C,B,C,D,E,B,A,D,E,C,C,B,C,C,E,A,D,D,A,D,C,E,D,E,D,C,E,C,B,D,C,A,B,C,A
1282,39401635901,"1,02001E+11",Presente,C,D,A,C,D,C,B,D,E,C,D,E,C,D,B,E,E,A,A,D,E,B,B,E,A,B,D,C,E,B,B,A,C,C,C,D,B,E,E,E,B,B,D,C,C,C,E,E,D,B,B,A,D,A,B,C,D,D,E,B,A,A,D,A,A,B,D,A,D,D
1283,39401653557,"1,03702E+11",Presente,D,A,B,C,A,E,B,D,B,A,A,E,D,C,B,D,C,D,B,B,A,A,E,E,A,A,A,C,C,C,B,D,E,C,E,E,A,B,D,D,A,A,A,B,B,A,A,D,D,E,D,B,A,A,B,E,C,E,A,D,D,E,C,A,E,C,C,E,A,B
1284,39401638472,"1,009E+11",Presente,E,B,C,B,B,B,D,C,E,C,A,E,C,A,B,D,C,E,B,B,B,A,A,A,A,D,A,C,B,C,B,A,B,C,B,E,A,A,D,E,E,A,A,D,B,C,B,E,A,D,D,D,A,C,B,A,E,D,E,A,E,A,B,A,E,C,A,A,B,D
1285,39401635456,"1,009E+11",Presente,D,B,B,A,D,D,D,D,B,B,B,E,E,D,C,B,A,A,A,A,E,D,A,B,A,D,B,C,D,E,B,A,B,B,D,A,C,C,E,D,D,B,D,D,D,D,D,D,D,E,B,E,D,D,D,C,D,D,E,A,C,A,C,A,A,E,E,A,B,D
1286,39401669296,"1,01701E+11",Presente,E,B,A,D,D,C,C,E,C,C,A,E,C,B,B,E,B,E,B,B,A,D,E,E,C,A,D,A,A,C,B,D,B,D,C,D,A,C,B,B,E,B,C,D,B,A,A,E,E,D,B,D,A,A,E,B,B,C,E,A,A,A,D,A,D,C,E,D,D,C
1287,39401635112,"1,034E+11",Presente,E,A,C,B,B,B,A,D,E,C,B,D,D,C,B,D,B,E,B,C,B,A,E,E,A,C,A,C,C,C,B,C,B,E,D,A,A,A,D,C,B,C,B,C,B,A,D,C,A,D,C,D,C,A,D,C,B,D,C,A,C,A,E,A,A,C,A,C,B,D
1288,39401635617,"1,04601E+11",Presente,A,A,E,B,E,D,E,A,C,E,E,C,B,B,C,A,A,E,A,D,A,B,E,C,B,C,E,A,A,D,B,C,D,B,E,C,A,E,E,B,A,D,B,C,E,D,C,E,D,D,C,E,A,A,A,D,D,B,E,B,A,D,B,B,A,E,E,C,A,B
1289,39401684058,"1,04902E+11",Presente,D,A,E,D,A,A,C,C,C,C,A,E,E,B,D,D,B,E,B,B,A,E,A,B,A,D,A,C,B,C,B,A,B,C,E,A,A,C,D,B,A,C,A,E,B,C,E,E,A,D,C,B,C,A,D,B,B,E,C,D,E,A,A,E,E,C,C,A,B,D
1290,39401664040,"1,01701E+11",Presente,C,A,D,D,E,D,D,E,C,D,E,E,D,B,D,C,D,E,B,B,B,B,A,E,A,D,A,C,D,C,B,D,B,E,E,A,D,C,D,C,D,C,D,D,D,E,D,D,B,C,D,A,D,A,E,C,A,D,E,A,A,A,C,A,D,C,C,D,B,A
1291,39401636537,"1,042E+11",Presente,E,A,C,E,A,A,C,D,E,C,A,E,D,E,A,A,B,E,B,B,A,B,A,E,A,D,E,C,D,C,A,A,E,E,D,D,C,A,C,E,A,B,D,C,E,E,B,E,A,A,D,B,B,A,D,C,C,C,E,B,B,A,E,A,E,C,A,B,A,D
1293,39401671544,"1,01501E+11",Presente,E,C,C,D,D,C,E,C,D,A,D,E,B,C,B,B,B,C,B,C,A,C,C,C,A,A,A,A,C,C,B,B,B,C,C,E,C,C,E,B,C,C,B,C,D,C,C,E,C,A,C,A,A,C,D,A,D,D,C,D,C,D,D,E,E,C,*,D,C,D
1295,39401663803,"1,006E+11",Presente,E,A,D,C,B,B,B,B,E,D,C,E,D,C,B,B,B,E,B,D,E,B,E,E,A,A,E,C,B,C,B,C,B,C,E,A,A,C,D,E,C,E,A,D,B,C,D,A,A,D,B,A,A,A,E,A,B,E,E,D,C,A,C,A,E,C,A,D,A,A
1296,39401650835,"1,01E+11",Presente,E,B,C,D,A,C,B,D,E,C,B,E,B,C,D,B,B,E,B,B,A,D,B,E,A,C,E,C,B,D,B,E,B,E,C,A,E,C,D,C,B,C,A,C,E,B,A,D,C,E,E,B,C,A,D,E,D,C,E,D,D,E,A,A,A,C,C,E,C,C
1297,39401638859,"1,03702E+11",Presente,E,A,D,E,C,B,C,D,E,B,A,E,D,C,B,B,B,E,B,B,B,A,C,E,A,D,A,C,D,C,A,C,B,C,D,A,A,C,D,E,E,B,A,E,B,D,C,C,A,D,B,E,C,A,D,E,B,C,D,A,D,A,D,A,E,B,C,C,D,C
1298,39401661355,"1,053E+11",Presente,E,B,C,E,B,A,C,E,C,C,B,B,C,A,E,D,A,E,B,B,E,A,E,E,A,D,A,C,B,D,B,D,E,E,C,A,A,B,E,E,A,E,A,E,D,D,B,E,C,D,C,D,A,A,A,E,B,D,E,A,D,E,C,A,E,B,A,C,A,D
1299,39401667071,"1,00501E+11",Presente,E,A,D,D,D,D,B,C,A,D,D,E,D,D,E,D,B,E,B,D,B,E,E,E,B,B,C,C,D,C,B,A,B,E,D,B,A,A,D,D,D,E,D,B,D,C,D,D,C,B,E,D,C,A,B,C,D,E,C,A,B,A,D,A,E,C,A,D,B,D
1300,39401652889,"1,04101E+11",Presente,C,A,C,C,A,A,C,D,C,A,E,E,D,C,C,D,B,E,B,C,B,B,A,E,A,A,E,C,D,B,B,C,B,C,D,A,A,C,D,A,C,B,A,E,B,C,C,A,C,D,C,A,D,A,C,B,B,A,D,A,D,A,C,A,E,C,B,E,A,B
1302,39401635076,"1,01701E+11",Presente,E,A,C,A,B,A,C,D,C,D,A,E,C,B,B,D,B,E,B,E,A,D,E,E,A,D,E,C,C,E,B,E,B,A,D,A,A,A,D,C,B,A,A,C,B,C,D,E,B,D,B,A,A,A,B,C,E,E,D,C,D,A,C,A,D,C,D,A,B,D
