INSCRICAO,SEXO,ESTADO,REGIAO,ESPECIALIDADE,PRESENTE DIA1,CARGO,Matemática Discreta,Cálculo Diferencial e Integral,Álgebra Linear,Geometria Analítica,Análise Combinatória,Probabilidade e Estatística,Lógica Matemática,Organização de Arquivos e Dados,Técnicas de Programação,Circuitos Digitais,Análise de Algoritmos,Teoria dos Grafos,"Linguagens Formais, Autômatos e Computabilidade",Algoritmos e Estruturas de Dados,Linguagens de Programação,Sistemas Operacionais,Arquitetura e Organização de Computadores,Redes de Computadores,Computação Gráfica,Inteligência Artificial,Engenharia de Software,Sistemas Distribuídos,Compiladores,Processamento de Imagens,Banco de Dados,ANO,IDADE
39401670726-0,M,GO,centro_oeste,engenharia de software,S,Mestrado/Doutorado,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,2016,28
39401641397-8,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2016,21
39401659540-8,M,DF,centro_oeste,engenharia de software,S,Mestrado/Doutorado,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2016,26
39401640236-5,M,GO,centro_oeste,inteligência artificial,S,Mestrado/Doutorado,2.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2016,20
39401649691-0,M,CE,nordeste,banco de dados,S,Mestrado/Doutorado,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2016,25
39401664229-3,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2016,22
39401676275-2,M,ES,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2016,23
39401668308-0,M,MG,sudeste,ciência computacional,S,Mestrado/Doutorado,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2016,21
39401655175-8,M,CE,nordeste,sistemas de informação,S,Mestrado/Doutorado,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2016,23
39401654195-8,M,MG,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2016,29
39401683171-1,M,SP,sudeste,aprendizado de máquina,S,Mestrado/Doutorado,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2016,28
39401650925-3,F,SP,sudeste,banco de dados,S,Mestrado/Doutorado,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2016,23
39401639098-1,F,SC,sul,banco de dados,S,Mestrado/Doutorado,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2016,23
39401660549-6,F,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2016,24
39401651567-3,F,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2016,21
39401647137-2,F,PB,nordeste,sistemas de computação,S,Mestrado/Doutorado,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2016,27
39401663112-1,M,TO,norte,inteligência artificial,S,Mestrado/Doutorado,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2016,26
39401659699-6,M,MS,centro_oeste,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,2016,25
39401641314-2,F,PR,sul,sistemas de informação,S,Mestrado/Doutorado,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,2016,20
39401651154-6,M,ES,sudeste,sistemas de informação,S,Mestrado/Doutorado,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2016,37
39401661709-4,M,ES,sudeste,sistemas de informação,S,Mestrado/Doutorado,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2016,56
39401671514-3,F,RN,nordeste,otimização e inteligência artificial,S,Mestrado/Doutorado,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2016,23
39401641515-7,M,PA,norte,sistemas inteligentes,S,Mestrado/Doutorado,1.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2016,22
39401640207-0,M,GO,centro_oeste,engenharia de software,S,Mestrado/Doutorado,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2016,24
39401639764-8,M,AP,norte,redes de computadores,S,Mestrado/Doutorado,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2016,24
39401635899-4,M,PA,norte,redes de computadores,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2016,25
39401681561-0,M,MG,sudeste,redes de computadores,S,Mestrado/Doutorado,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2016,38
39401640327-4,M,MG,sudeste,redes de computadores,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2016,28
39401647158-9,M,PR,sul,sistemas de informação,S,Mestrado/Doutorado,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2016,39
39401682460-9,M,SC,sul,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2016,52
39401684179-8,M,MG,sudeste,ciência computacional,S,Mestrado/Doutorado,2.0,2.0,3.0,2.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2016,28
39401685133-1,M,PB,nordeste,sistemas de computação,S,Mestrado/Doutorado,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,3.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2016,23
39401636496-1,F,PB,nordeste,sistemas de computação,S,Mestrado/Doutorado,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2016,25
39401674531-9,M,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,2016,25
39401668729-5,M,ES,sudeste,redes de computadores,S,Mestrado/Doutorado,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2016,35
39401665487-3,F,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2016,32
39401635101-0,M,BA,nordeste,engenharia de software,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,2016,32
39401640285-6,M,BA,nordeste,engenharia de software,S,Mestrado/Doutorado,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,2016,23
39401656059-0,M,SP,sudeste,banco de dados,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2016,39
39401664627-2,M,ES,sudeste,inteligência artificial,S,Mestrado/Doutorado,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2016,29
39401666772-3,M,PR,sul,redes de computadores,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2016,33
39401678177-8,M,PA,norte,engenharia de software,S,Mestrado/Doutorado,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,2016,31
39401664051-3,M,MT,centro_oeste,engenharia de software,S,Mestrado/Doutorado,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2016,20
39401641982-3,M,PI,nordeste,sistemas de computação,S,Mestrado/Doutorado,2.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2016,24
39401642445-0,F,PA,norte,computação visual,S,Mestrado/Doutorado,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2016,21
39401684449-5,M,PR,sul,engenharia de software,S,Mestrado/Doutorado,0.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2016,28
39401652570-8,F,MT,centro_oeste,inteligência artificial,S,Mestrado/Doutorado,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,2016,22
39401667186-4,M,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2016,23
39401635969-7,M,PR,sul,redes e sistemas distribuídos,S,Mestrado/Doutorado,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2016,32
39401658909-8,M,DF,centro_oeste,banco de dados,S,Mestrado/Doutorado,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2016,40
39401657601-0,M,PR,sul,redes e sistemas distribuídos,S,Mestrado/Doutorado,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2016,24
39401658651-7,F,MS,centro_oeste,sistemas de computação,S,Mestrado/Doutorado,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,2016,26
39401639066-7,F,SC,sul,inteligência artificial,S,Mestrado/Doutorado,2.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2016,27
39401673333-8,F,MS,centro_oeste,inteligência artificial,S,Mestrado/Doutorado,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2016,24
39401683020-3,M,GO,centro_oeste,inteligência artificial,S,Mestrado/Doutorado,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2016,28
39401654127-0,M,PA,norte,sistemas inteligentes,S,Mestrado/Doutorado,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2016,24
39401645158-6,M,PI,nordeste,computação aplicada,S,Mestrado/Doutorado,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2016,24
39401683099-0,M,MG,sudeste,ciência computacional,S,Mestrado/Doutorado,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,2016,24
39401683903-2,M,SP,sudeste,sistemas distribuídos,S,Mestrado/Doutorado,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,2016,30
39401640647-2,M,AL,nordeste,banco de dados,S,Mestrado/Doutorado,2.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2016,25
39401650633-0,F,SC,sul,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2016,47
39401645412-5,M,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,2016,40
39401684918-7,M,MS,centro_oeste,sistemas de computação,S,Mestrado/Doutorado,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2016,30
39401671751-0,F,RN,nordeste,engenharia de software,S,Mestrado/Doutorado,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2016,25
39401673038-6,M,MA,nordeste,arquitetura de computadores,S,Mestrado/Doutorado,1.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2016,25
39401656758-1,M,MG,sudeste,aprendizado de máquina,S,Mestrado/Doutorado,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2016,23
39401684244-0,M,ES,sudeste,aprendizado de máquina,S,Mestrado/Doutorado,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,2016,23
39401674071-5,M,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2016,25
39401646891-6,M,SC,sul,inteligência artificial,S,Mestrado/Doutorado,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2016,28
39401663626-6,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,0.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2016,21
39401673086-7,M,MG,sudeste,otimização e inteligência artificial,S,Mestrado/Doutorado,0.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2016,27
39401663905-1,M,ES,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2016,30
39401656529-2,M,RS,sul,computação aplicada,S,Mestrado/Doutorado,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2016,25
39401671132-0,M,PR,sul,engenharia de software,S,Mestrado/Doutorado,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2016,27
39401654794-1,M,SP,sudeste,banco de dados,S,Mestrado/Doutorado,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2016,23
39401640123-0,M,MS,centro_oeste,sistemas de computação,S,Mestrado/Doutorado,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2016,22
39401668602-1,M,MS,centro_oeste,arquitetura de computadores,S,Mestrado/Doutorado,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2016,24
39401669863-1,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2016,37
39401675223-5,M,MG,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,2016,31
39401658874-8,M,SP,sudeste,ciência computacional,S,Mestrado/Doutorado,2.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2016,21
39401670242-0,M,MS,centro_oeste,engenharia de software,S,Mestrado/Doutorado,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2016,23
39401652359-7,M,PB,nordeste,sistemas de computação,S,Mestrado/Doutorado,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,2016,24
39401684051-4,M,PR,sul,inteligência artificial,S,Mestrado/Doutorado,2.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2016,27
39401639886-1,M,SP,sudeste,sistemas distribuídos,S,Mestrado/Doutorado,0.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2016,27
39401656488-4,M,MG,sudeste,otimização e inteligência artificial,S,Mestrado/Doutorado,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2016,25
39401663612-8,M,SC,sul,engenharia de software,S,Mestrado/Doutorado,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2016,22
39401640259-1,M,SP,sudeste,inteligência artificial,S,Mestrado/Doutorado,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,2016,21
39401658480-7,M,SP,sudeste,sistemas de computação,S,Mestrado/Doutorado,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2016,25
39401683446-9,M,SP,sudeste,engenharia de software,S,Mestrado/Doutorado,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,2016,25
39401681447-6,M,MG,sudeste,sistemas distribuídos,S,Mestrado/Doutorado,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2016,25
39401639968-2,M,PR,sul,inteligência artificial,S,Mestrado/Doutorado,1.0,2.0,3.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2016,27
39401682834-3,M,PR,sul,sistemas embarcados,S,Mestrado/Doutorado,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2016,23
39401636583-0,M,ES,sudeste,sistemas de informação,S,Mestrado/Doutorado,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2016,31
39401674841-9,M,ES,sudeste,sistemas de informação,S,Mestrado/Doutorado,2.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2016,24
39401653894-2,M,MG,sudeste,banco de dados,S,Mestrado/Doutorado,0.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2016,21
